2006-06-07;99;155
2006-06-25;85;167
2006-07-28;82;190
2006-08-23;94;214
2006-08-24;120;215
2006-09-16;84;238
2006-09-17;83;239
2007-05-16;197;475
2007-05-18;107;477
2007-05-19;86;478
2007-07-02;80;515
2008-05-08;102;823
2008-05-09;100;824
2008-07-17;81;893
2009-06-26;125;1224
2009-06-27;138;1225
2009-06-28;100;1226
2009-06-29;91;1227
2009-07-28;82;1256
2010-04-28;143;1511
2010-04-29;139;1512
2010-04-30;116;1513
2010-05-01;81;1514
2010-06-03;145;1547
2010-06-04;149;1548
2010-06-05;97;1549
2010-07-07;88;1575
2010-08-18;101;1617
2010-08-19;97;1618
2010-08-24;90;1623
2010-09-22;116;1649
