5;1;;;;;;;;;;;;;;;;
GDAS;;7;;5;;1;;0;;0;;;;;;;
GDAS;;7;;5;;8;;0;;0;;;;;;;
GDAS;;7;;5;;15;;0;;0;;;;;;;
GDAS;;7;;5;;22;;0;;0;;;;;;;
GDAS;;7;;5;;29;;0;;0;;;;;;;
3 BACK;W;ARD;OM;EGA;;;;;;;;;;;;;
1;1;;7;;5;;7;;16;;0;2;-20;16,872;-57,944;2549;751,1
2;1;;7;;5;;7;;16;;0;2;-20;17,309;-58,276;2881,5;722,4
3;1;;7;;5;;7;;16;;0;2;-20;17,459;-58,745;3309,3;686,9
1;1;;7;;5;;7;;15;;0;3;-21;16,82;-57,835;2564,4;750,3
2;1;;7;;5;;7;;15;;0;3;-21;17,267;-58,178;2896,6;721,2
3;1;;7;;5;;7;;15;;0;3;-21;17,43;-58,665;3313,3;686,7
1;1;;7;;5;;7;;14;;0;2;-22;16,759;-57,726;2580,4;748,6
2;1;;7;;5;;7;;14;;0;2;-22;17,215;-58,076;2915;718,9
3;1;;7;;5;;7;;14;;0;2;-22;17,391;-58,582;3324,4;685,3
1;1;;7;;5;;7;;13;;0;1;-23;16,701;-57,619;2594,3;747,5
2;1;;7;;5;;7;;13;;0;1;-23;17,166;-57,975;2933,5;717
3;1;;7;;5;;7;;13;;0;1;-23;17,352;-58,503;3341,1;683,6
1;1;;7;;5;;7;;12;;0;0;-24;16,648;-57,514;2606,8;746,5
2;1;;7;;5;;7;;12;;0;0;-24;17,12;-57,876;2952,2;715,2
3;1;;7;;5;;7;;12;;0;0;-24;17,317;-58,428;3362,5;681,5
1;1;;7;;5;;7;;11;;0;1;-25;16,599;-57,41;2621,6;745,2
2;1;;7;;5;;7;;11;;0;1;-25;17,077;-57,781;2969,5;713,4
3;1;;7;;5;;7;;11;;0;1;-25;17,287;-58,36;3381,8;678,8
1;1;;7;;5;;7;;10;;0;2;-26;16,554;-57,307;2644,1;743,1
2;1;;7;;5;;7;;10;;0;2;-26;17,035;-57,69;2986,3;711,8
3;1;;7;;5;;7;;10;;0;2;-26;17,262;-58,303;3392,7;677,5
1;1;;7;;5;;7;;9;;0;3;-27;16,515;-57,204;2677,9;740
2;1;;7;;5;;7;;9;;0;3;-27;16,996;-57,603;3006,2;710
3;1;;7;;5;;7;;9;;0;3;-27;17,242;-58,257;3396,8;676,8
1;1;;7;;5;;7;;8;;0;2;-28;16,48;-57,104;2717,8;736
2;1;;7;;5;;7;;8;;0;2;-28;16,958;-57,52;3031,2;708
3;1;;7;;5;;7;;8;;0;2;-28;17,226;-58,219;3400,7;676,9
1;1;;7;;5;;7;;7;;0;1;-29;16,446;-57,01;2755,4;732,6
2;1;;7;;5;;7;;7;;0;1;-29;16,921;-57,441;3059,9;705,7
