#Pression;Temperature;Rapport de melange;Humidite relative
300     -32.391     0.163       19.298
400     -16.871     0.510       20.087
500     -5.935      1.187       25.082
700     9.347       3.961       38.164
850     16.879      9.974       69.813
925     21.069      13.056      75.796
1000    25.850      16.752      78.376
