year	month	aot_440_monthly	pm10	angstrom440_870	angstrom440_675
2006	9	0.13058999120909	33.081818181	0.47845559176364	-9.99999900000000
2007	1	0.09109526250000	32.450000000	0.24955760000000	-9.99999900000000
2007	3	0.05959808930000	16.350000000	0.48319695235000	-9.99999900000000
2007	4	0.12140783433529	27.488235294	0.49139945766471	-9.99999900000000
2007	5	0.29347178316000	51.240000000	0.14155913878000	-9.99999900000000
2007	6	0.26246034797500	29.300000000	0.13391126917500	-9.99999900000000
2007	7	0.32072551727143	48.642857142	0.20771450867143	-9.99999900000000
2008	1	0.14173061900000	36.300000000	0.10332019050000	-9.99999900000000
2008	2	0.06710118424444	20.488888888	0.12842379465556	-9.99999900000000
2008	3	0.07481421509231	17.238461538	0.54355412168462	-9.99999900000000
2008	4	0.12950399090000	28.969629333	0.28967908204667	-9.99999900000000
2008	5	0.16171887111429	32.428571428	0.34169632852381	-9.99999900000000
2008	6	0.20562236170000	37.827272727	0.14292966740000	-9.99999900000000
2008	7	0.24450665702381	30.278004761	0.12540769485714	-9.99999900000000
2008	8	0.28840755693333	45.166666666	0.10560018361111	-9.99999900000000
2009	3	0.09161947495556	20.677777777	0.43247503081111	0.52895436580000
2009	4	0.08715793778889	16.251851666	0.55461044960556	0.66377447576667
2009	5	0.20906692565556	31.406173333	0.30342649870000	0.36759473064444
2009	6	0.24425620384706	40.865359411	0.23741006576471	0.29319207808824
2009	7	0.31896102596667	37.366666666	0.21951463723333	0.24414037576667
2009	8	0.23758442016000	44.220000000	0.18399330804000	0.21699556188000
2009	9	0.04824287500000	12.400000000	0.53716956250000	0.69054650000000
2010	4	0.35884722145000	74.850000000	0.28862384945000	0.30345507585000
2010	5	0.17460232165714	31.992460000	0.58775122815000	0.66397159152857
2010	6	0.28586930479286	47.457142857	0.48433071291429	0.51389117770714
2010	7	0.27869206361667	43.966666666	0.32347223865000	0.35681945275833
2010	8	0.24521297675833	34.642327500	0.54444983952500	0.58083588780000
2010	9	0.21396148186667	34.400000000	0.99490687530000	1.05280969206667
2010	10	0.10079504720000	16.985714285	1.15892573596429	1.24749925111429
2010	11	0.08510513992857	18.914285714	0.89777894930000	0.99017316017143
2010	12	0.09055093249333	19.326666666	1.18084946281333	1.26957475478000
2011	1	0.08514348211875	19.637500000	0.80167657606250	0.91812363008750
2011	2	0.07510551495000	17.862500000	0.82115154368333	0.91205006558333
2011	11	0.11521220925294	29.104621764	0.65368816467647	0.68434300734706
2011	12	0.08822882086316	18.960233684	0.72608028513684	0.77338665884737
2012	1	0.07643600578571	19.192857142	0.43721058030000	0.48730555453810
2012	2	0.08023710435882	18.652941176	0.39325307642353	0.47002545878235
2012	3	0.12142766683333	29.516666666	0.30248482636667	0.36005975398333
2012	4	0.10348786888889	18.433333333	0.48704935895556	0.65394387391111
2012	5	0.19670639123333	37.125000000	0.31116371880833	0.40709762759167
2012	6	0.30277334178636	49.270779090	0.11845347434545	0.07608396285000
2012	7	0.28146780544667	45.140000000	0.14091492598000	0.08208326889333
2012	8	0.34992850985000	34.000000000	0.13009823355000	0.08998890570000
2012	9	0.12359363417647	25.704575294	0.44923320084706	0.21224267768824
2012	10	0.06312433026667	17.494444166	0.34604857440000	0.19076923395833
2012	11	0.05669611316818	25.507828181	0.27846061006818	0.23474860947273
2012	12	0.08721400291667	48.588890000	0.06821174383333	0.09780743150000
2013	2	0.06773577371667	14.402083333	0.34581970391667	0.40156202380000
2013	3	0.08891829893333	18.879722222	0.48579663668889	0.53509820983889
2013	4	0.07954694197500	16.178268750	0.21696118953750	0.24922059970000
2013	5	0.21633622808462	27.343076923	0.28018228275385	0.30377358701538
2013	6	0.36384907116923	35.556153846	0.14472245453077	0.14146598043846
2013	7	0.30973064563750	38.780138750	0.20805998159375	0.21949695282500
2013	9	0.25804150727500	38.803750000	0.24527023033750	0.25469321206250
2013	10	0.10525023797647	24.618235294	0.22114381584706	0.16579112561765
2013	11	0.06210792533913	22.421980434	0.42973147713043	0.36018765476522
2013	12	0.08330218940000	28.029881111	0.11028503681667	0.05647869842778
2014	1	0.08852784837778	25.994444444	0.08238671214444	0.01014798615926
2014	2	0.10303519320588	18.870441176	0.10704545318235	0.05936085900000
2015	1	0.08032426115882	21.909215882	0.19649262134706	0.24633444588235
2015	2	0.07201226541667	25.300833333	0.27930017495000	0.33387368263333
2015	3	0.08420356427857	32.151428571	0.29398929000000	0.38708258313571
2015	4	0.09094984077500	38.625000000	0.31708722435000	0.42610811820000
2015	5	0.39441806174000	81.172000000	0.14121774400000	0.14272026210000
2015	6	0.40730585836667	55.737916666	0.16508420726667	0.18479289335000
2015	7	0.28777176402500	60.795000000	0.17169069867500	0.19954435831250
2015	8	0.10650314526364	25.384646363	0.26978091241818	0.36140028835455
2015	9	0.14827388696471	42.940980588	0.56625641570000	0.68131901563529
2015	10	0.10154323180714	25.587857142	0.38393520110000	0.54120966067143
2015	11	0.07875047193333	23.589111333	0.28970841025333	0.42657920130667
2015	12	0.08368934833889	23.001666666	0.15787896241111	0.27020115532222
2016	1	0.10240029106316	21.126315789	0.34527656441579	0.49978364716842
2016	2	0.12583707880909	26.977272727	0.22531688354545	0.33523801860000
2016	3	0.08706497955833	20.900000000	0.48027149639167	0.65935478971667
2016	4	0.17331847431250	39.625000000	0.26950827467500	0.39888388953750
2016	5	0.14288848104000	27.220000000	0.39947290200000	0.56799931790000
