nbdates	date	aot_440_daily	pm10	angstrom440_870	angstrom440_675
36	2008-04-19	0.0797271667	19.000	0.2389981111	-9.9999990000
33	2008-04-21	0.2431851515	33.391	0.2728052727	-9.9999990000
48	2008-04-22	0.2191036875	48.913	0.2368037708	-9.9999990000
20	2008-04-23	0.1866840500	48.130	0.2265731000	-9.9999990000
13	2008-04-24	0.1753695385	44.609	0.2038267692	-9.9999990000
13	2008-04-28	0.1656126154	31.130	0.3102834615	-9.9999990000
35	2008-04-29	0.1710449429	28.870	0.2800323714	-9.9999990000
23	2008-04-30	0.1581215217	21.609	0.3795577391	-9.9999990000
12	2008-05-05	0.1035735833	21.667	0.4488117500	-9.9999990000
16	2008-05-07	0.3763748125	113.087	0.0778081250	-9.9999990000
12	2008-05-08	0.5796454167	114.870	0.1110532500	-9.9999990000
16	2008-05-11	0.2366549375	29.609	0.2334801250	-9.9999990000
33	2008-05-12	0.1172874242	25.304	0.4317545152	-9.9999990000
32	2008-05-13	0.1082954375	30.391	0.2510264063	-9.9999990000
41	2008-05-14	0.1418604390	21.000	0.2654498537	-9.9999990000
37	2008-05-15	0.1496020000	22.087	0.5422876486	-9.9999990000
57	2008-05-16	0.0913519649	18.826	0.4232083684	-9.9999990000
53	2008-05-17	0.0976740377	20.391	0.3873603774	-9.9999990000
13	2008-05-18	0.1400040769	25.870	0.3217373846	-9.9999990000
13	2008-05-19	0.1373431538	28.087	0.2682273077	-9.9999990000
26	2008-05-20	0.0870566154	15.174	0.5118942308	-9.9999990000
31	2008-05-21	0.1132681290	18.783	0.3827479355	-9.9999990000
19	2008-05-22	0.0901896316	17.000	0.4053924737	-9.9999990000
20	2008-05-23	0.1048429500	18.739	0.4138551500	-9.9999990000
35	2008-05-24	0.0878947143	16.391	0.3109272857	-9.9999990000
34	2008-05-25	0.0924345000	13.696	0.4865248235	-9.9999990000
25	2008-05-26	0.1333695600	21.261	0.3685746000	-9.9999990000
12	2008-05-28	0.3030660000	37.391	0.1222875000	-9.9999990000
33	2008-05-31	0.1043069091	17.348	0.4112137879	-9.9999990000
15	2008-06-02	0.1258072000	20.435	0.1864677333	-9.9999990000
22	2008-06-03	0.0838457727	19.739	0.2427416818	-9.9999990000
16	2008-06-09	0.1878141875	33.044	0.1065505625	-9.9999990000
26	2008-06-10	0.1322465769	28.522	0.2181718846	-9.9999990000
38	2008-06-11	0.1607787895	29.391	0.1773144474	-9.9999990000
24	2008-06-14	0.2511301250	41.478	0.1108675000	-9.9999990000
42	2008-06-15	0.2266714048	58.217	0.1365026905	-9.9999990000
18	2008-06-16	0.2450493333	62.130	0.1353916667	-9.9999990000
26	2008-06-17	0.1557323077	39.826	0.1024326538	-9.9999990000
32	2008-06-18	0.3549232813	37.044	0.0977901875	-9.9999990000
12	2008-06-26	0.3378470000	23.826	0.0579953333	-9.9999990000
19	2008-07-01	0.3201575263	27.478	0.1283044737	-9.9999990000
24	2008-07-04	0.1471903333	19.727	0.1893901667	-9.9999990000
12	2008-07-05	0.1576340000	23.522	0.1093840000	-9.9999990000
15	2008-07-06	0.2855515333	41.783	0.0203553333	-9.9999990000
12	2008-07-08	0.1108977500	22.435	0.1140025000	-9.9999990000
14	2008-07-09	0.1510732143	16.609	0.2571343571	-9.9999990000
25	2008-07-10	0.3594348800	49.522	0.0713625600	-9.9999990000
16	2008-07-11	0.4313146250	51.864	0.1335558750	-9.9999990000
14	2008-07-12	0.2201763571	25.550	0.1779505000	-9.9999990000
14	2008-07-17	0.1766709286	17.913	0.0956222857	-9.9999990000
27	2008-07-18	0.3066782593	28.000	0.1374684815	-9.9999990000
38	2008-07-19	0.2694846316	40.261	0.1238763421	-9.9999990000
45	2008-07-20	0.4326363556	35.522	0.1117742889	-9.9999990000
18	2008-07-21	0.5381773889	35.696	0.1086982222	-9.9999990000
20	2008-07-22	0.3246501000	30.609	0.1349705000	-9.9999990000
35	2008-07-23	0.1470369143	18.304	0.1957454571	-9.9999990000
36	2008-07-24	0.0904904444	16.522	0.1572725556	-9.9999990000
21	2008-07-25	0.1995417143	25.913	0.1047890000	-9.9999990000
27	2008-07-26	0.2283751481	27.000	0.0566544444	-9.9999990000
54	2008-07-27	0.1238699074	21.478	0.1208817963	-9.9999990000
42	2008-07-28	0.1135977857	22.826	0.0843684524	-9.9999990000
23	2008-08-02	0.2810239130	36.565	0.0451360000	-9.9999990000
37	2008-08-03	0.2753842973	46.304	0.0741210811	-9.9999990000
40	2008-08-04	0.1981735000	36.696	0.1068419500	-9.9999990000
33	2008-08-06	0.6926456667	60.913	0.0389573636	-9.9999990000
30	2008-08-07	0.1503710667	23.000	0.1982035333	-9.9999990000
40	2008-08-08	0.0920061000	19.609	0.1841488250	-9.9999990000
40	2008-08-09	0.2401902500	34.261	0.0931113000	-9.9999990000
33	2008-08-10	0.3604025758	51.000	0.0843572424	-9.9999990000
14	2008-08-11	0.3054706429	43.000	0.1255243571	-9.9999990000
16	2009-03-14	0.0996793125	23.087	0.2797858750	0.3451500625
32	2009-03-16	0.0528915313	15.000	0.5440127813	0.6333070313
32	2009-03-17	0.1035425313	21.304	0.3965952813	0.4536430938
27	2009-03-18	0.0780676667	19.696	0.4111822963	0.4611007778
24	2009-03-19	0.0666732083	16.000	0.4617756250	0.5656041667
41	2009-03-20	0.0726131220	16.833	0.4950363171	0.6110068049
15	2009-03-23	0.0778058000	20.667	0.6680784667	0.8461554000
12	2009-03-27	0.1367723333	25.042	0.3893582500	0.5015844167
13	2009-03-28	0.1365297692	22.875	0.2464503846	0.3430375385
12	2009-04-01	0.0826271667	22.700	0.4716513333	0.6022195000
14	2009-04-02	0.0609265714	12.875	0.5850252857	0.7432809286
15	2009-04-03	0.0571146000	12.292	0.5301102667	0.7027508000
32	2009-04-05	0.0783315000	12.125	0.9618923125	1.0268820625
13	2009-04-06	0.0715329231	13.375	0.9471513077	1.0303833077
22	2009-04-07	0.0704360909	14.542	0.9619909091	1.0423289091
28	2009-04-08	0.1088177143	18.583	0.8691160357	0.9618738571
15	2009-04-10	0.1139286000	14.333	0.4231434667	0.5208328000
15	2009-04-11	0.0827868000	16.583	0.5646896000	0.6627025333
