year	month	aot_440_monthly	pm10	angstrom440_870	angstrom440_675
2006	9	0.13058999120909	32.3635455	0.47845559176364	-9.99999900000000
2007	1	0.09109526250000	33.0210000	0.24955760000000	-9.99999900000000
2007	3	0.05959808930000	15.0000000	0.48319695235000	-9.99999900000000
2007	4	0.12140783433529	25.9730000	0.49139945766471	-9.99999900000000
2007	5	0.29347178316000	58.4250000	0.14155913878000	-9.99999900000000
2007	6	0.26246034797500	29.0727500	0.13391126917500	-9.99999900000000
2007	7	0.32072551727143	46.3147143	0.20771450867143	-9.99999900000000
2008	1	0.14173061900000	31.9130000	0.10332019050000	-9.99999900000000
2008	2	0.06710118424444	19.5750000	0.12842379465556	-9.99999900000000
2008	3	0.07481421509231	18.5793846	0.54355412168462	-9.99999900000000
2008	4	0.12950399090000	27.1158000	0.28967908204667	-9.99999900000000
2008	5	0.16171887111429	30.8081905	0.34169632852381	-9.99999900000000
2008	6	0.20562236170000	35.7865455	0.14292966740000	-9.99999900000000
2008	7	0.24450665702381	28.5016190	0.12540769485714	-9.99999900000000
2008	8	0.28840755693333	39.0386667	0.10560018361111	-9.99999900000000
2009	3	0.09161947495556	20.0560000	0.43247503081111	0.52895436580000
2009	4	0.08715793778889	16.1847222	0.55461044960556	0.66377447576667
2009	5	0.20906692565556	28.7841111	0.30342649870000	0.36759473064444
2009	6	0.24425620384706	40.4986471	0.23741006576471	0.29319207808824
2009	7	0.31896102596667	36.4800000	0.21951463723333	0.24414037576667
2009	8	0.23758442016000	41.2250000	0.18399330804000	0.21699556188000
2009	9	0.04824287500000	19.0830000	0.53716956250000	0.69054650000000
2010	4	0.35884722145000	72.1455000	0.28862384945000	0.30345507585000
2010	5	0.17460232165714	29.9304286	0.58775122815000	0.66397159152857
2010	6	0.28586930479286	43.5474286	0.48433071291429	0.51389117770714
2010	7	0.27869206361667	40.1675000	0.32347223865000	0.35681945275833
2010	8	0.23242037758462	32.0728462	0.56677009225385	0.60098298296923
2010	9	0.21396148186667	30.0139167	0.99490687530000	1.05280969206667
2010	10	0.10079504720000	17.8472857	1.15892573596429	1.24749925111429
2010	11	0.08510513992857	17.6547143	0.89777894930000	0.99017316017143
2010	12	0.09055093249333	18.0055333	1.18084946281333	1.26957475478000
2011	1	0.08514348211875	17.9478750	0.80167657606250	0.91812363008750
2011	2	0.07510551495000	18.5055000	0.82115154368333	0.91205006558333
2011	11	0.11521220925294	27.9158235	0.65368816467647	0.68434300734706
2011	12	0.08822882086316	18.4211053	0.72608028513684	0.77338665884737
2012	1	0.07643600578571	18.0250476	0.43721058030000	0.48730555453810
2012	2	0.08023710435882	18.3946471	0.39325307642353	0.47002545878235
2012	3	0.12142766683333	26.6528333	0.30248482636667	0.36005975398333
2012	4	0.10348786888889	16.2176667	0.48704935895556	0.65394387391111
2012	5	0.19670639123333	36.2049167	0.31116371880833	0.40709762759167
2012	6	0.30277334178636	45.8500455	0.11845347434545	0.07608396285000
2012	7	0.28146780544667	42.5778000	0.14091492598000	0.08208326889333
2012	8	0.34992850985000	33.4165000	0.13009823355000	0.08998890570000
2012	9	0.12359363417647	25.1661176	0.44923320084706	0.21224267768824
2012	10	0.06312433026667	17.6193333	0.34604857440000	0.19076923395833
2012	11	0.05669611316818	27.0290455	0.27846061006818	0.23474860947273
2012	12	0.08246322098571	40.6297143	0.20422911655714	0.22147454632857
2013	2	0.06773577371667	14.4530000	0.34581970391667	0.40156202380000
2013	3	0.08891829893333	18.5840556	0.48579663668889	0.53509820983889
2013	4	0.07818351580000	15.6624118	0.20826277553529	0.23980494410000
2013	5	0.21633622808462	25.3162308	0.28018228275385	0.30377358701538
2013	6	0.36384907116923	35.1734615	0.14472245453077	0.14146598043846
2013	7	0.30973064563750	35.9972500	0.20805998159375	0.21949695282500
2013	9	0.25804150727500	36.4887500	0.24527023033750	0.25469321206250
2013	10	0.10525023797647	23.8013529	0.22114381584706	0.16579112561765
2013	11	0.06210792533913	22.8604348	0.42973147713043	0.36018765476522
2013	12	0.08330218940000	27.1625556	0.11028503681667	0.05647869842778
2014	1	0.08935030133846	25.5931923	0.08673870656923	0.01563547601154
2014	2	0.10876124786000	19.3516000	0.10758677804667	0.06408905130667
2014	12	0.06432656885000	23.9697500	0.35717408685000	0.43877187575000
2015	1	0.07916309188889	20.6209444	0.20507866817778	0.25728564531667
2015	2	0.07201226541667	20.9306667	0.27930017495000	0.33387368263333
2015	3	0.08420356427857	27.4497143	0.29398929000000	0.38708258313571
2015	4	0.09094984077500	29.9620000	0.31708722435000	0.42610811820000
2015	5	0.39441806174000	73.5084000	0.14121774400000	0.14272026210000
2015	6	0.40730585836667	47.8370000	0.16508420726667	0.18479289335000
2015	7	0.28777176402500	49.3557500	0.17169069867500	0.19954435831250
2015	8	0.10650314526364	21.7445455	0.26978091241818	0.36140028835455
2015	9	0.14153159341053	34.5936842	0.59143462358947	0.71721837935789
2015	10	0.10154323180714	23.2098571	0.38393520110000	0.54120966067143
2015	11	0.07875047193333	22.1346667	0.28970841025333	0.42657920130667
2015	12	0.08368934833889	20.1411111	0.15787896241111	0.27020115532222
2016	1	0.10240029106316	21.1263158	0.34527656441579	0.49978364716842
2016	2	0.12583707880909	26.9772727	0.22531688354545	0.33523801860000
2016	3	0.08706497955833	20.9000000	0.48027149639167	0.65935478971667
2016	4	0.17331847431250	39.6250000	0.26950827467500	0.39888388953750
2016	5	0.14288848104000	27.2200000	0.39947290200000	0.56799931790000
