nbdates	date	aot_440_daily	pm10	angstrom440_870	angstrom440_675
16	2005-03-27	0.0960553750	14.0000000	0.9262371250	0.9289720625
12	2005-03-31	0.0928773333	11.0000000	0.8910995000	0.8776735000
15	2005-04-02	0.2269614000	32.0000000	0.6147078000	0.6005804667
15	2005-04-03	0.2358136667	41.0000000	0.6295012000	0.6347258000
16	2005-04-04	0.1624370625	48.0000000	0.5169150000	0.5055311250
17	2005-04-13	0.2042943529	37.0000000	0.7653336471	0.7946796471
19	2005-04-14	0.1485715263	37.0000000	0.4221041053	0.4268000000
14	2005-08-02	0.1303417143	14.0000000	0.2016518571	0.1830409286
19	2005-08-06	0.2421750000	30.0000000	0.2817623684	0.2549011579
15	2005-08-07	0.1305299333	34.0000000	0.2568829333	0.2824884000
17	2005-08-09	0.0855677059	16.0000000	0.5187737059	0.5218588235
15	2005-08-15	0.1642703333	29.0000000	0.2818571333	0.2708239333
15	2005-08-18	0.1508647333	18.0000000	0.9400758667	0.9776664000
26	2005-08-21	0.1113481923	16.0000000	0.5247286154	0.5428852692
17	2005-08-22	0.0544942353	10.0000000	0.5083603529	0.5308568235
14	2005-08-31	0.3718184286	13.0000000	1.7479185000	1.6237142143
15	2005-09-02	0.4039166000	54.0000000	0.1187844000	0.1091007333
21	2005-09-06	0.1247552381	17.0000000	0.3281863333	0.3795488571
13	2005-09-08	0.2282001538	24.0000000	0.8206333846	0.8646966923
16	2005-09-10	0.2050291875	73.0000000	0.1189512500	0.1516417500
14	2005-09-15	0.5201748571	18.0000000	0.8598245714	0.8424598571
22	2005-09-24	0.1541948182	11.0000000	0.6647494091	0.7767482727
16	2005-09-27	0.2070421250	54.0000000	0.4352387500	0.4779266875
15	2005-09-29	0.1932841333	36.0000000	0.8461156000	0.9198493333
19	2005-10-01	0.0568325789	13.0000000	0.4748551579	0.5992882105
26	2005-10-07	0.0879660000	12.0000000	0.1862165385	0.1933753462
14	2005-10-17	0.3942066429	15.0000000	0.3292737143	0.4054224286
12	2005-10-18	0.0950300833	15.0000000	0.2053036667	0.2615061667
18	2005-10-19	0.0789807778	15.0000000	0.4448748889	0.5136256667
18	2005-10-20	0.1470555556	17.0000000	0.0504177778	0.0966353889
17	2005-10-24	0.1181714118	17.0000000	0.5167467059	0.5154211176
19	2005-10-25	0.0682688421	14.0000000	0.4892069474	0.5042657895
21	2005-10-26	0.0592021905	16.0000000	0.4376430476	0.4896968095
26	2005-10-28	0.1300329615	26.0000000	0.1203490769	0.1433747692
36	2005-10-29	0.0684024722	16.0000000	0.2900626944	0.3295806667
22	2005-10-30	0.0789365909	16.0000000	0.5437599091	0.6100678636
19	2005-11-01	0.1610362105	21.0000000	0.0610007895	0.1032990526
35	2005-11-02	0.1383220000	26.0000000	0.1797404571	0.2022406000
20	2005-11-03	0.1470220000	17.0000000	0.5358076500	0.5914466500
29	2005-11-08	0.1008088621	20.0000000	0.3293402069	0.3922100690
21	2005-11-09	0.0966789048	18.0000000	0.2507183333	0.3175199524
12	2005-11-14	0.0882327500	26.0000000	0.3188479167	0.3734565833
13	2005-11-16	0.0938892308	31.0000000	0.1213283846	0.1413723846
16	2005-11-22	0.0717029375	12.0000000	1.1286842500	1.1274736875
32	2005-11-27	0.0964754375	27.0000000	0.2459099375	0.3024294063
19	2005-11-28	0.0836820526	27.0000000	0.2551225263	0.3019854211
19	2005-11-29	0.0756829474	26.0000000	0.1381794211	0.1681127368
16	2005-12-01	0.0633193750	20.0000000	0.5310903750	0.6473707500
13	2005-12-04	0.0449367692	15.0000000	0.4319073077	0.6010893077
28	2005-12-05	0.0592721786	26.0000000	0.3169273571	0.3951323929
24	2005-12-07	0.0800357917	20.0000000	0.1899822917	0.2542188750
40	2005-12-08	0.0881388250	26.0000000	0.0958397750	0.1370228250
15	2005-12-09	0.0855726000	28.0000000	0.0771056000	0.1128683333
15	2005-12-10	0.0507518000	30.0000000	0.2732028667	0.3188709333
30	2005-12-12	0.0719259000	20.0000000	0.3804329333	0.4397484333
25	2005-12-16	0.0611447200	21.0000000	0.5032473600	0.6188703200
26	2005-12-17	0.0788279615	25.0000000	0.1847396538	0.2660051923
21	2005-12-18	0.0697097619	27.0000000	0.2380995714	0.3331980952
34	2005-12-19	0.0863719412	20.0000000	0.2363261471	0.3722884412
21	2005-12-20	0.0619661429	15.0000000	0.2375697143	0.3879924286
20	2005-12-22	0.0597351500	14.0000000	0.2141571500	0.2473538500
32	2005-12-23	0.0475483125	13.0000000	0.2994437813	0.4058034375
16	2005-12-25	0.0932733750	17.0000000	0.2353411875	0.3619273750
21	2005-12-27	0.0579069524	9.0000000	0.2642217143	0.4662610476
25	2005-12-28	0.0479243200	12.0000000	0.6175810800	0.8719358800
15	2005-12-29	0.0796141333	12.0000000	0.3454002667	0.5411056000
13	2006-01-01	0.0935119231	18.0000000	0.0462927692	0.1705787692
20	2006-01-02	0.1356222500	21.0000000	0.0589392000	0.1351672500
13	2006-01-04	0.0947323846	16.0000000	0.2459022308	0.3756844615
31	2006-01-08	0.0428191613	13.0000000	0.4775352903	0.6911662581
26	2006-01-11	0.1042283846	28.0000000	0.0113004615	0.0627544615
24	2006-01-12	0.0883042917	20.0000000	0.0219776250	0.0951697500
27	2006-01-13	0.0846270370	16.0000000	0.0351251111	0.1037684074
18	2006-01-16	0.1314052778	36.0000000	0.3206102222	0.3717059444
14	2006-01-17	0.1566245000	41.0000000	0.0989020714	0.1446475000
12	2006-01-18	0.0863277500	30.0000000	0.4147058333	0.5562160833
16	2006-01-19	0.0722299375	26.0000000	0.1584530625	0.2651411875
22	2006-01-23	0.0924949545	30.0000000	0.0487516364	0.1158405455
27	2006-01-25	0.0842010000	20.0000000	0.0542977778	0.1370205926
12	2006-01-27	0.0889473333	19.0000000	0.3485927500	0.4918664167
13	2006-01-31	0.1270913077	31.0000000	0.2242456923	0.3049866923
12	2006-02-01	0.0662795833	21.0000000	0.2916889167	0.3677415833
13	2006-02-08	0.0819213846	13.0000000	0.6202393077	0.7247873846
32	2006-02-09	0.0685984688	14.0000000	0.3925510625	0.5310141250
25	2006-02-12	0.0793056000	23.0000000	0.0779585200	0.1780324400
23	2006-02-13	0.1129666087	26.0000000	0.4907764783	0.6192803043
29	2006-02-14	0.0812146552	16.0000000	0.2357702069	0.3362783103
36	2006-11-17	0.0568123889	13.0000000	0.8548580000	1.1101315278
