2014-01-11;15 26
2014-01-11;16 24
2014-01-11;17 25
2014-01-11;18 28
2014-01-11;19 30
2014-01-11;20 27
2014-01-11;21 23
2014-01-11;22 23
2014-01-11;23 21
2014-01-12;00 22
2014-01-12;01 20
2014-01-12;02 19
2014-01-12;03 18
2014-01-12;04 18
2014-01-12;05 20
2014-01-12;06 21
2014-01-12;07 21
2014-01-12;08 21
2014-01-12;09 22
2014-01-12;10 22
2014-01-12;11 20
2014-01-12;12 23
2014-01-12;13 23
2014-01-12;14 23
2014-01-12;15 24
2014-01-12;16 24
2014-01-12;17 22
2014-01-12;18 23
2014-01-12;19 24
2014-01-12;20 24
2014-01-12;21 21
2014-01-12;22 20
2014-01-12;23 20
2014-01-13;00 16
2014-01-13;01 18
2014-01-13;02 18
2014-01-13;03 17
2014-01-13;04 16
2014-01-13;05 16
2014-01-13;06 17
2014-01-13;07 17
2014-01-13;08 19
2014-01-13;09 22
2014-01-13;10 22
2014-01-13;11 22
2014-01-13;12 23
2014-01-13;13 25
2014-01-13;14 26
2014-01-13;15 25
2014-01-13;16 24
2014-01-13;17 21
2014-01-13;18 24
2014-01-13;19 26
2014-01-13;20 25
2014-01-13;21 24
2014-01-13;22 22
2014-01-13;23 21
2014-01-14;00 21
2014-01-14;01 18
2014-01-14;02 17
2014-01-14;03 15
2014-01-14;04 9
2014-01-14;05 9
2014-01-14;06 8
2014-01-14;07 8
2014-01-14;08 10
2014-01-14;09 9
2014-01-14;10 15
2014-01-14;11 21
2014-01-14;12 21
2014-01-14;13 19
2014-01-14;14 23
2014-01-14;15 22
2014-01-14;16 22
2014-01-14;17 22
2014-01-14;18 22
2014-01-14;19 23
2014-01-14;20 21
2014-01-14;21 20
2014-01-14;22 15
2014-01-14;23 17
2014-01-15;00 15
2014-01-15;01 13
2014-01-15;02 13
2014-01-15;03 11
2014-01-15;04 12
2014-01-15;05 12
2014-01-15;06 13
2014-01-15;07 18
2014-01-15;08 25
2014-01-15;09 24
2014-01-15;10 21
2014-01-15;11 20
2014-01-15;12 17
2014-01-15;13 18
2014-01-15;14 20
2014-01-15;15 17
2014-01-15;16 16
2014-01-15;17 15
2014-01-15;18 14
2014-01-15;19 14
2014-01-15;20 16
2014-01-15;21 16
2014-01-15;22 14
2014-01-15;23 11
2014-01-16;00 13
2014-01-16;01 11
2014-01-16;02 10
2014-01-16;03 10
2014-01-16;04 10
2014-01-16;05 12
2014-01-16;06 12
2014-01-16;07 15
2014-01-16;08 20
2014-01-16;09 21
2014-01-16;10 14
2014-01-16;11 17
2014-01-16;12 15
2014-01-16;13 18
2014-01-16;14 20
2014-01-16;15 20
2014-01-16;16 19
2014-01-16;17 19
2014-01-16;18 19
2014-01-16;19 22
2014-01-16;20 22
2014-01-16;21 19
2014-01-16;22 17
2014-01-16;23 14
2014-01-17;00 13
2014-01-17;01 11
2014-01-17;02 11
2014-01-17;03 10
2014-01-17;04 11
