date;pm10
01/11/2017;14.9
02/11/2017;11.6
03/11/2017;17.3
04/11/2017;9.9
05/11/2017;8.5
06/11/2017;25.8
07/11/2017;24.1
08/11/2017;22.3
09/11/2017;14.5
10/11/2017;14.6
11/11/2017;11.7
12/11/2017;12.6
13/11/2017;18.5
14/11/2017;15
15/11/2017;15.2
16/11/2017;13.5
17/11/2017;18.1
18/11/2017;12.7
19/11/2017;19.2
20/11/2017;-999.999 
21/11/2017;-999.999 
22/11/2017;16.5
23/11/2017;12.4
24/11/2017;17.6
25/11/2017;24.5
26/11/2017;22.7
27/11/2017;21.2
28/11/2017;10
29/11/2017;10
30/11/2017;13.8
01/12/2017;12.2
02/12/2017;11.9
03/12/2017;34.2
04/12/2017;31.7
05/12/2017;22.1
06/12/2017;31.8
07/12/2017;17.1
08/12/2017;15.4
09/12/2017;16.8
10/12/2017;11.9
11/12/2017;8.9
12/12/2017;14.5
13/12/2017;15.1
14/12/2017;20
15/12/2017;21
16/12/2017;11.4
17/12/2017;8.4
18/12/2017;10.6
19/12/2017;13.5
20/12/2017;17.3
21/12/2017;14
22/12/2017;12.3
23/12/2017;12.3
24/12/2017;10.5
25/12/2017;11.7
26/12/2017;13.8
27/12/2017;15.7
28/12/2017;18.8
29/12/2017;16.3
30/12/2017;17.1
31/12/2017;17.5
