06/01/2015 18:00;Mardi ;20,5
06/01/2015 19:00;Mardi ;16,3
06/01/2015 20:00;Mardi ;14,8
06/01/2015 21:00;Mardi ;23,3
06/01/2015 22:00;Mardi ;27,3
06/01/2015 23:00;Mardi ;20,3
07/01/2015 00:00;Mardi ;17
07/01/2015 01:00;Mercredi ;20
07/01/2015 02:00;Mercredi ;13,8
07/01/2015 03:00;Mercredi ;23,3
07/01/2015 04:00;Mercredi ;16,5
07/01/2015 05:00;Mercredi ;22,3
07/01/2015 06:00;Mercredi ;15
07/01/2015 07:00;Mercredi ;21,3
07/01/2015 08:00;Mercredi ;24
07/01/2015 09:00;Mercredi ;14,3
07/01/2015 10:00;Mercredi ;29,3
07/01/2015 11:00;Mercredi ;22
07/01/2015 12:00;Mercredi ;31,3
07/01/2015 13:00;Mercredi ;26,5
07/01/2015 14:00;Mercredi ;22,5
07/01/2015 15:00;Mercredi ;22,5
07/01/2015 16:00;Mercredi ;30
07/01/2015 17:00;Mercredi ;29,8
07/01/2015 18:00;Mercredi ;34,5
07/01/2015 19:00;Mercredi ;34,3
07/01/2015 20:00;Mercredi ;39,5
07/01/2015 21:00;Mercredi ;35,3
07/01/2015 22:00;Mercredi ;33,8
07/01/2015 23:00;Mercredi ;33,3
08/01/2015 00:00;Mercredi ;28
08/01/2015 01:00;Jeudi ;26
08/01/2015 02:00;Jeudi ;25,8
08/01/2015 03:00;Jeudi ;16,5
08/01/2015 04:00;Jeudi ;11,8
08/01/2015 05:00;Jeudi ;21
08/01/2015 06:00;Jeudi ;23,3
08/01/2015 07:00;Jeudi ;25,8
08/01/2015 08:00;Jeudi ;25,5
08/01/2015 09:00;Jeudi ;20
08/01/2015 10:00;Jeudi ;24
08/01/2015 11:00;Jeudi ;28,3
08/01/2015 12:00;Jeudi ;25,8
08/01/2015 13:00;Jeudi ;31,8
08/01/2015 14:00;Jeudi ;37
08/01/2015 15:00;Jeudi ;34,3
08/01/2015 16:00;Jeudi ;23
08/01/2015 17:00;Jeudi ;10,5
08/01/2015 18:00;Jeudi ;11
08/01/2015 19:00;Jeudi ; 
08/01/2015 20:00;Jeudi ;20,5
08/01/2015 21:00;Jeudi ;20,3
08/01/2015 22:00;Jeudi ;19,5
08/01/2015 23:00;Jeudi ;19,5
09/01/2015 00:00;Jeudi ;19,3
09/01/2015 01:00;Vendredi ;22,5
09/01/2015 02:00;Vendredi ;25,3
09/01/2015 03:00;Vendredi ;19
09/01/2015 04:00;Vendredi ;12,5
09/01/2015 05:00;Vendredi ;18,5
09/01/2015 06:00;Vendredi ;12
