date	avg(pm10)
2002-11-19	19.4583333
2002-11-20	21.3333333
2002-11-21	14.8750000
2002-11-22	21.5416667
2002-11-23	13.8750000
2002-11-24	10.8333333
2002-11-25	17.6250000
2002-11-26	18.0000000
2002-11-27	25.2500000
2002-11-28	18.0833333
2002-11-29	23.6250000
2002-11-30	20.0416667
2002-12-01	19.1666667
2002-12-02	44.3333333
2002-12-03	35.6250000
2002-12-04	15.4347826
2002-12-05	23.1666667
2002-12-06	49.4583333
2002-12-07	33.2916667
2002-12-08	22.7500000
2002-12-09	24.9583333
2002-12-10	32.0454545
2002-12-11	32.2083333
2002-12-12	30.3333333
2002-12-13	27.5000000
2002-12-14	16.0952381
2002-12-15	19.2916667
2002-12-16	37.7500000
2002-12-17	43.1250000
2002-12-18	36.2916667
2002-12-19	25.4166667
2002-12-20	20.7500000
2002-12-26	49.8888889
2002-12-27	58.7391304
2002-12-28	44.4583333
2002-12-29	52.9166667
2002-12-30	57.9583333
2002-12-31	35.1250000
2003-01-01	32.7500000
2003-01-02	24.9166667
2003-01-03	36.6666667
2003-01-04	43.0000000
2003-01-06	27.3333333
2003-01-07	52.8636364
2003-01-08	60.3913043
2003-01-09	47.3750000
2003-01-10	48.2500000
2003-01-11	37.7916667
2003-01-12	32.0000000
2003-01-13	17.0000000
2003-01-14	25.1428571
2003-01-15	22.2000000
2003-01-16	28.6666667
2003-01-17	31.9285714
2003-01-18	35.5000000
2003-01-19	25.7083333
2003-01-20	32.5416667
2003-01-21	25.1250000
2003-01-22	25.1111111
2003-01-23	30.3076923
2003-01-24	39.2380952
2003-01-25	50.3750000
2003-01-26	38.4117647
2003-01-27	27.0000000
2003-01-28	24.6842105
2003-01-29	30.3157895
2003-01-30	44.2500000
2003-01-31	111.6250000
2003-02-01	96.1304348
2003-02-02	71.8571429
2003-02-03	52.1500000
2003-02-04	35.0526316
2003-02-05	29.5500000
2003-02-06	24.1578947
2003-02-07	44.7368421
2003-02-08	50.8500000
2003-02-09	39.5263158
2003-02-10	34.1000000
2003-02-11	25.4285714
2003-02-12	26.2500000
2003-02-13	29.3478261
2003-02-14	32.8000000
2003-02-15	46.1363636
2003-02-16	26.6000000
2003-02-17	24.4444444
2003-02-18	30.5909091
2003-02-19	38.2000000
2003-02-20	60.4166667
2003-02-21	26.8181818
2003-02-22	32.0416667
2003-02-23	24.7916667
2003-02-24	28.2916667
2003-02-25	28.7391304
2003-02-26	30.3500000
2003-02-27	28.3000000
2003-02-28	35.0000000
2003-03-01	37.4545455
2003-03-02	38.4761905
2003-03-03	48.0454545
2003-03-04	38.0476190
2003-03-05	38.2272727
2003-03-06	33.8181818
2003-03-07	93.1428571
2003-03-08	151.2173913
2003-03-09	170.7727273
2003-03-10	120.9090909
2003-03-11	100.1500000
2003-03-12	77.6000000
2003-03-13	76.2631579
2003-03-14	100.7368421
2003-03-15	75.7894737
2003-03-16	57.8500000
2003-03-17	37.8947368
2003-03-18	19.8500000
2003-03-19	23.8500000
2003-03-20	18.0000000
2003-03-21	19.2777778
2003-03-22	32.6315789
2003-03-23	41.5454545
2003-03-24	51.4545455
2003-03-25	61.5263158
2003-03-26	48.5263158
2003-03-27	36.8947368
2003-03-28	31.4444444
2003-03-29	30.7058824
2003-03-30	29.9444444
2003-03-31	49.1666667
2003-04-01	50.6315789
2003-04-02	56.5000000
2003-04-03	62.2631579
2003-04-04	49.1052632
2003-04-05	61.9473684
2003-04-06	54.7894737
2003-04-07	41.8571429
2003-04-08	35.3333333
2003-04-09	28.8333333
2003-04-10	26.3333333
2003-04-11	17.0416667
2003-04-12	20.5000000
2003-04-13	25.1739130
2003-04-14	23.0833333
2003-04-15	29.0454545
2003-04-16	31.2000000
2003-04-17	29.4500000
2003-04-18	35.4761905
2003-04-19	42.2272727
2003-04-20	30.5000000
2003-04-21	30.6190476
2003-04-22	15.0476190
2003-04-23	27.4736842
2003-04-24	49.7894737
2003-04-25	22.4736842
2003-04-26	57.6666667
2003-04-27	46.6363636
2003-04-28	40.2000000
2003-04-29	53.2631579
2003-04-30	57.7916667
2003-05-01	46.5416667
2003-05-02	58.0454545
2003-05-03	95.2173913
2003-05-04	88.4347826
2003-05-05	71.3333333
2003-05-06	33.3684211
2003-05-07	71.8750000
2003-05-08	66.5000000
2003-05-09	34.4000000
2003-05-10	8.0000000
2003-05-11	12.7500000
2003-05-12	12.3333333
2003-05-13	14.3157895
