#Pression	Temperature	Rapport de melange	Humidite relative	
300	    -32.311	0.148	15.528	
400	    -17.021	0.457	17.755	
500	    -5.786	1.019	20.779	
700	    9.141	4.000	39.464	
850	    15.976	9.870	72.733	
925	    20.351	12.455	75.456	
1000	24.766	15.976	79.647	
				
