date	pm10
2008-08-05	31.652
2008-08-06	60.913
2008-08-09	34.261
2008-08-10	51.000
2008-08-11	43.000
2008-08-12	33.217
2008-08-13	52.087
2008-08-15	48.565
2008-08-16	49.826
2008-08-17	32.826
2008-08-21	41.391
2008-08-22	36.652
2008-08-30	51.783
2008-08-31	47.000
2008-09-06	74.000
2008-10-08	31.783
2008-10-13	40.048
2008-10-14	45.435
2008-10-20	54.522
2008-10-21	46.435
2008-11-14	36.000
2008-11-15	31.478
2009-02-17	45.652
2009-03-10	33.304
2009-05-08	32.083
2009-05-09	40.750
2009-05-18	31.542
2009-05-19	40.500
2009-05-20	30.500
2009-05-22	32.542
2009-05-23	33.458
2009-05-26	40.083
2009-05-27	46.583
2009-05-28	45.083
2009-06-01	34.111
2009-06-07	48.417
2009-06-08	64.042
2009-06-13	42.833
2009-06-25	123.750
2009-06-26	112.458
2009-06-27	78.750
2009-06-28	83.667
2009-06-29	54.917
2009-07-01	52.292
2009-07-02	48.542
2009-07-03	50.750
2009-07-04	35.708
2009-07-05	65.000
2009-07-06	49.750
2009-07-09	44.500
2009-07-10	41.417
2009-07-11	33.583
2009-07-13	38.917
2009-07-14	39.667
2009-07-15	55.958
2009-07-19	37.750
2009-07-20	35.625
2009-07-22	39.708
2009-07-23	52.833
2009-07-24	35.417
2009-07-27	51.292
2009-07-28	61.292
2009-07-31	32.533
2009-08-01	31.458
2009-08-03	43.750
2009-08-04	50.667
2009-08-05	53.792
2009-08-06	83.708
2009-08-07	63.625
2009-08-08	37.708
2009-08-09	32.083
2009-08-10	41.875
2009-08-18	40.625
2009-08-20	33.042
2009-08-26	57.000
2009-08-27	32.542
2009-08-31	42.833
2009-09-12	32.333
2009-09-16	32.667
2009-09-27	64.083
2009-09-28	94.458
2009-10-05	69.292
2009-10-06	68.208
2009-10-07	44.208
2009-10-09	34.042
2009-10-10	50.833
2009-10-11	48.000
2009-10-12	52.167
2009-11-05	35.583
2009-11-26	33.792
2009-11-27	38.042
2009-11-28	33.542
2009-12-30	33.208
2010-01-06	35.875
2010-01-07	33.125
2010-02-26	38.208
2010-03-01	40.526
2010-03-02	51.958
2010-03-03	50.458
2010-03-04	51.167
2010-03-05	38.667
2010-03-06	43.083
2010-03-07	40.875
2010-03-10	55.375
2010-03-11	52.958
2010-03-15	45.125
2010-03-16	55.083
2010-03-17	70.000
2010-03-18	61.167
2010-03-19	61.417
2010-03-20	31.083
2010-03-31	70.792
2010-04-01	52.125
2010-04-26	35.958
2010-04-27	73.125
2010-04-28	94.208
2010-04-29	50.083
2010-05-22	30.917
2010-05-23	34.250
2010-05-24	51.333
2010-05-25	67.250
2010-05-26	76.750
