"","date","powerdry","powerhumid","stdpowerwind","powerall","cape","cape_virt","pm10_mean","pm10_std","pm10_nbValues"
"67",1989-01-04,922,1697,0.75,2619.82,233.5,351.8,"29","6,63",4
"68",1989-01-06,575,1653,0.41,2230.83,1556.71,1838.03,"29",NA,1
"69",1989-01-08,495,2624,0.47,3122.73,162.92,310.31,"53",NA,1
"70",1989-01-10,710,2625,2.12,3337.5,364.92,589.18,"28,25","7,59",4
"71",1989-01-12,759,1408,0.75,2169.25,184.42,335.64,"26",NA,1
"72",1989-01-14,645,1966,0.63,2612,310.34,422.36,"31",NA,1
"73",1989-01-16,588,967,0.44,1557.22,189.88,316.61,"23,33","5,35",6
"74",1989-01-18,818,2700,0.71,3520.5,106.62,170.95,"35",NA,1
"75",1989-01-20,661,994,1.02,1657.57,1732.67,1975.44,"33",NA,1
"76",1989-02-17,479,514,0.79,995.8,823.69,969.1,"34",NA,1
"77",1989-02-19,697,857,0.67,1555.78,777.73,939.3,"22",NA,1
"78",1989-02-21,538,454,0.4,994.82,399.2,559,"24,67","7,37",3
"79",1989-02-25,552,696,0.53,1249.5,1404.8,1613.88,"78",NA,1
"80",1989-02-27,688,1354,0.5,2043.25,172.17,301.08,"31,6","9,53",5
"81",1989-03-29,515,574,0.44,1090.78,613.02,777,"28","9,08",6
"82",1989-03-31,430,551,0.84,982.5,1824.77,2002.1,"31",NA,1
"83",1989-04-20,578,918,0.39,1498.83,89.37,202.85,"45",NA,1
"84",1989-04-22,1013,1917,0.67,2931.36,42.89,110.44,"69,86","6,23",7
"85",1989-04-24,601,30,0.38,632.86,189.61,273.7,"52",NA,1
"86",1989-04-26,556,1465,0.83,2022.12,45.51,130.46,"29",NA,1
"87",1989-04-28,534,1417,0.42,1952.2,209.25,402.49,"29,71","11,94",7
"88",1989-04-30,590,1295,0.65,1887.67,145.16,313.97,"33",NA,1
"89",1989-07-03,536,911,0.58,1449.5,2305.71,2599.82,"46,33","7,84",6
"90",1989-07-05,443,997,0,1443,2354.36,2644.69,"41",NA,1
"91",1989-07-07,776,1428,0.73,2206.44,2431.18,2707.38,"36",NA,1
"92",1989-07-09,694,886,0,1583,2374.65,2620.72,"52","6",6
"93",1989-07-11,632,2175,0.5,2809.33,1046.3,1294.72,"59",NA,1
"94",1989-07-13,733,2295,0.46,3030.75,2515.71,2862.72,"29",NA,1
"95",1989-07-15,524,2094,0.5,2620.36,1892.96,2221.4,"43,83","14,16",6
"96",1989-07-17,594,2161,0.79,2756.57,1963.8,2271.77,"24",NA,1
"97",1989-07-19,779,1476,0.45,2257.8,326.11,501.43,"34",NA,1
"98",1989-07-21,590,1896,0.44,2489.22,2479.2,2833.05,"54,57","16,27",7
"99",1989-07-25,666,1546,0,2215,1929.65,2212.57,"33",NA,1
"100",1989-07-27,545,1183,0,1732,2882.51,3159.87,"35,5","12,21",6
"101",1989-08-02,577,361,0,939,1812.04,2071.58,"61,17","28,85",6
"102",1989-08-08,634,269,0.35,904.12,1921.02,2142.62,"21,4","14,93",5
"103",1989-08-10,516,665,0.35,1182.12,2214.02,2433.06,"29",NA,1
"104",1989-08-14,519,1517,0.46,2038.25,1729.26,2034.05,"26","11,02",5
"105",1989-08-18,552,1519,0,2073,2109.89,2413.43,"32",NA,1
"106",1989-08-22,574,1454,0.53,2028.5,2007.02,2339.19,"25",NA,1
"107",1989-08-26,555,1027,0.38,1584.14,2772.72,3081.85,"31,67","20,61",6
"108",1989-08-30,504,373,1.58,878.6,3073.4,3295.02,"52",NA,1
"109",1989-09-01,487,255,0.71,743.5,1980.74,2226.04,"22,6","11,67",5
"110",1989-09-03,551,417,0,971,3366.13,3666.78,"41",NA,1
"111",1989-09-07,630,942,0.38,1573.14,1941.64,2231.82,"36,6","6,07",5
"112",1989-09-09,472,218,0,691,2587.48,2784.24,"30",NA,1
"113",1989-09-13,441,795,0.53,1237.5,2617.43,2858.74,"23,75","7,68",4
"114",1989-10-11,587,340,0.5,929.67,1222.47,1426.09,"32",NA,1
"115",1989-10-15,478,847,0.41,1325.83,1300.21,1539.45,"23",NA,1
"116",1989-10-17,486,3552,0.38,4038.86,2327.68,2697.71,"50",NA,1
"117",1989-10-19,588,2178,0.53,2768.57,1344.71,1625.36,"33,75","14,55",4
"118",1989-10-23,597,371,0,970,2900.82,3173.22,"32",NA,1
"119",1989-10-25,532,157,0,692,1121.91,1230.15,"29,6","8,5",5
"120",1989-10-27,481,480,0.55,962.5,2319.1,2569.17,"43",NA,1
"121",1989-10-29,456,220,0,677,3317.35,3520.97,"29",NA,1
"122",1989-10-31,548,584,0.52,1133.6,2536.52,2790.53,"28,25","9,07",4
"123",1989-11-02,529,1143,0.49,1672.71,1568.98,1811.23,"30",NA,1
"124",1989-11-06,557,663,0.52,1222.6,839.81,1076.66,"24,4","7,13",5
"125",1989-11-08,489,963,0.33,1453.11,1561.93,1778.08,"29",NA,1
"126",1989-11-12,523,584,0.48,1109.7,1793.34,2007.79,"44,5","4,8",4
"127",1989-11-16,651,3221,1.13,3873.43,1340.45,1602.72,"31",NA,1
"128",1989-11-18,541,1893,0.53,2436.57,1040.52,1316.79,"46,33","30,62",3
"129",1989-11-24,482,290,0.35,774.12,1398.06,1578.57,"27","7,87",4
"130",1989-11-30,454,892,0.71,1347.5,122.17,226.9,"28,5","2,12",2
"131",1989-12-08,1036,1778,0.63,2817,16.75,47.03,"31",NA,1
"132",1989-12-12,567,857,0.47,1426.07,191.01,313.33,"32,67","3,06",3
"133",1989-12-16,1057,2093,0,3153,22.35,45.95,"65",NA,1
"134",1990-01-05,717,2165,0.4,2884.82,47.52,105.91,"29,33","15,5",3
"135",1990-01-07,3260,1680,0.58,4942.33,1478.54,1718.57,"20",NA,1
"136",1990-01-19,659,1564,1.25,2225.29,385.89,590.28,"32",NA,1
