"","date","powerdry","powerhumid","powerwind","stdpowerwind","cape","cape_virt","station_name","powerall","normed_dry","normed_humid","normed_wind","normed_cape","normed_cape_virt"
"9181","2009-09-25",563,226,2.8,0.42,2816.6,2996.17,"barbade",791.8,-0.394820751465012,-1.41439639261281,0.444444444444444,2.08952711873609,1.77559190093978
"9182","2009-09-26",546,544,2.7,0.48,1563.13,1727.31,"barbade",1092.7,-0.468071354705274,-1.06294139101027,0.358974358974359,0.728465171833433,0.511656515952083
"9183","2009-09-27",602,1775,3.33,0.5,1789.53,2068.26,"barbade",2380.33,-0.226775249913823,0.297565234690156,0.897435897435898,0.974298278951083,0.739946759165893
"9184","2009-09-28",465,406,3,0.5,1936.59,2119.85,"barbade",874,-0.817088934850052,-1.21545959925288,0.615384615384616,1.13398121504968,0.88823458234179
"9185","2009-09-29",421,1427,2.29,0.47,1406.46,1636.67,"barbade",1850.29,-1.00667873147191,-0.0870458991390458,0.00854700854700875,0.558347358705684,0.353678457629169
"9186","2009-09-30",530,2002,1,0,1183.04,1430.72,"barbade",2533,-0.537013098931403,0.548446635205181,-1.09401709401709,0.315750040718823,0.128393094825152
"9187","2009-10-01",591,1184,0.36,0.5,1985.66,2276.38,"barbade",1775.36,-0.274172699069286,-0.355610570174954,-1.64102564102564,1.18726315217981,0.937714274190296
"9188","2009-10-02",600,936,0.92,0.29,1459.11,1723.38,"barbade",1536.92,-0.235392967942089,-0.629701263248638,-1.16239316239316,0.615516586133883,0.40676803936595
"9189","2009-10-03",603,1404,1.07,0.26,2144.49,2420.26,"barbade",2008.07,-0.22246639089969,-0.112465600512815,-1.03418803418803,1.35972636950975,1.09787036663574
"9190","2009-10-04",520,922,1.09,0.54,1731.88,1957.72,"barbade",1443.09,-0.580101689072734,-0.64517412495441,-1.01709401709402,0.911699875128943,0.681815431775098
"9191","2009-10-05",541,1013,3.27,0.47,2538.8,2815.84,"barbade",1557.27,-0.489615649775939,-0.544600523866889,0.846153846153846,1.78788207828872,1.49547251240269
"9192","2009-10-06",489,730,2.22,0.44,2171.38,2381.12,"barbade",1221.22,-0.713676318510858,-0.857373371205004,-0.051282051282051,1.38892448015636,1.12498487476304
"9193","2009-10-07",516,530,0.75,0.45,2489.38,2704.57,"barbade",1046.75,-0.597337125129266,-1.07841425271604,-1.30769230769231,1.73422009881101,1.44563989835841
"9194","2009-10-08",548,1619,2,0,1478.88,1734.34,"barbade",2169,-0.459453636677008,0.125153347111548,-0.239316239316239,0.636983549595526,0.426703101681926
"9195","2009-10-09",392,510,3.77,0.93,342.1,430.55,"barbade",905.77,-1.13163564288176,-1.10051834086714,1.27350427350427,-0.597372278625332,-0.719568023232364
"9196","2009-10-10",598,1949,3,0,1170.45,1433.83,"barbade",2550,-0.244010685970355,0.489870801604757,0.615384615384616,0.302079374558879,0.115697979268342
"9197","2009-10-11",660,2353,2.9,0.32,1180.69,1459.76,"barbade",3015.9,0.0231385729058945,0.936373382257048,0.52991452991453,0.313198327813671,0.126023474367765
"9198","2009-10-12",734,1984,3,0,659.87,876.33,"barbade",2721,0.341994139951741,0.528552955869188,0.615384615384616,-0.252326402084804,-0.399144919937079
"9199","2009-10-13",370,2219,2.33,0.5,332.85,513.32,"barbade",2591.33,-1.22643054119269,0.788275991644655,0.042735042735043,-0.607416254954123,-0.728895252692292
"9200","2009-10-14",700,541,2.14,0.38,1588.96,1777.38,"barbade",1243.14,0.195492933471217,-1.06625700423293,-0.119658119658119,0.756512297084532,0.537702174000726
"9201","2009-10-15",579,562,2.11,0.33,1865.47,2069.07,"barbade",1143.11,-0.325879007238883,-1.04304771167427,-0.145299145299145,1.05675661002226,0.816520792159077
"9202","2009-10-16",628,518,2.64,0.5,1803.6,1973.17,"barbade",1148.64,-0.114744915546363,-1.0916767056067,0.307692307692308,0.989575981323633,0.754134231436292
"9203","2009-10-17",625,1542,3.36,0.5,1899.69,2166.64,"barbade",2170.36,-0.127671492588762,0.0400526077297996,0.923076923076923,1.09391389326239,0.851026499415158
"9204","2009-10-18",744,2059,3,0.55,350.22,535.18,"barbade",2806,0.385082730093071,0.611443286435826,0.615384615384616,-0.588555296161572,-0.711380228290243
"9205","2009-10-19",577,1615,1.4,0.52,0,0,"barbade",2193.4,-0.334496725267149,0.120732529481328,-0.752136752136752,-0.968836527498778,-1.06452426088009
"9206","2009-10-20",534,1169,1,0,1113.43,1352.73,"barbade",1704,-0.519777662874871,-0.372188636288282,-1.09401709401709,0.240165046962376,0.058201911829952
"9207","2009-10-21",412,453,1,0,1628.02,1874.76,"barbade",866,-1.0454584625991,-1.16351499209779,-1.09401709401709,0.798925023074,0.577088291049893
"9208","2009-10-22",621,2039,1.13,0.35,339.17,548.06,"barbade",2661.13,-0.144906928645295,0.589339198284723,-0.982905982905983,-0.600553775992182,-0.722522486185617
"9209","2009-10-23",543,1958,1.31,0.48,434.12,664.05,"barbade",2502.31,-0.480997931747673,0.499817641272753,-0.829059829059829,-0.497453716271242,-0.626779736215867
"9210","2009-10-24",580,2062,1.08,0.49,1176.12,1464.51,"barbade",2643.08,-0.32157014822475,0.614758899658492,-1.02564102564103,0.308236060589608,0.121415318839995
"9211","2009-10-25",564,485,1.31,0.6,1361.12,1583.75,"barbade",1050.31,-0.390511892450879,-1.12814845105602,-0.829059829059829,0.509115587165427,0.307959908038559
"9212","2009-10-26",621,1061,2.3,0.67,2121.18,2398.2,"barbade",1684.3,-0.144906928645295,-0.491550712304241,0.0170940170940171,1.33441554916119,1.07436574839672
"9213","2009-10-27",554,665,2.09,0.7,2022.68,2266.96,"barbade",1221.09,-0.43360048259221,-0.929211657696091,-0.162393162393162,1.22746077420055,0.975043359012625
"9214","2009-10-28",569,1024,2.77,0.44,1817.23,2042.91,"barbade",1595.77,-0.368967597380214,-0.532443275383782,0.418803418803419,1.00437591617352,0.767878030089138
"9215","2009-10-29",579,1298,2,0,1457.74,1708.77,"barbade",1879,-0.325879007238883,-0.229617267713664,-0.239316239316239,0.614028991801944,0.40538660105675
"9216","2009-10-30",587,568,1,0,841.4,1022.33,"barbade",1156,-0.291408135125819,-1.03641648522894,-1.09401709401709,-0.0552147239263804,-0.216099302222402
"9217","2009-10-31",516,775,2,0,1716.12,1942.92,"barbade",1293,-0.597337125129266,-0.807639172865021,-0.239316239316239,0.894587111135241,0.665923849473642
"9218","2009-11-01",554,361,1,0,1279.77,1472.3,"barbade",916,-0.43360048259221,-1.26519379759286,-1.09401709401709,0.420782887236006,0.225930706247731
