"date","power"
"2011-04-02",674
"2011-04-03",512
"2011-04-04",603
"2011-04-05",599
"2011-04-06",871
"2011-04-07",477
"2011-04-08",516
"2011-04-09",870
"2011-04-10",775
"2011-04-11",366
"2011-04-12",506
"2011-04-13",230
"2011-04-14",564
"2011-04-15",471
"2011-04-16",430
"2011-04-17",723
"2011-04-18",744
"2011-04-19",667
"2011-04-20",615
"2011-04-21",521
"2011-04-22",611
"2011-04-23",515
"2011-04-24",552
"2011-04-25",602
"2011-04-26",582
"2011-04-27",426
"2011-04-28",532
"2011-04-29",598
"2011-04-30",597
"2011-05-01",160
"2011-05-02",641
"2011-05-03",856
"2011-05-04",779
"2011-05-05",639
"2011-05-06",545
"2011-05-07",587
"2011-05-08",552
"2011-05-09",547
"2011-06-02",610
"2011-06-03",541
"2011-06-04",625
"2011-06-05",611
"2011-06-06",434
"2011-06-07",723
"2011-06-08",723
"2011-06-09",600
"2011-06-10",526
"2011-06-11",518
"2011-06-12",681
"2011-06-13",637
"2011-06-14",588
"2011-06-15",522
"2011-06-16",592
"2011-06-17",663
"2011-06-18",645
"2011-06-19",548
"2011-06-20",637
"2011-06-21",718
"2011-06-22",339
"2011-06-23",881
"2011-06-25",520
"2011-06-26",625
"2011-06-27",639
"2011-06-28",703
"2011-06-29",776
"2011-06-30",495
"2011-07-01",15
"2011-07-02",540
"2011-07-03",443
"2011-07-04",571
"2011-07-05",775
"2011-07-06",566
"2011-07-07",601
"2011-07-08",731
"2011-07-09",725
"2011-07-10",709
"2011-07-11",424
"2011-07-12",654
"2011-07-13",562
"2011-07-14",663
"2011-07-15",424
"2011-07-16",467
"2011-07-17",616
"2011-07-18",714
"2011-07-19",554
"2011-07-20",740
"2011-07-21",802
"2011-07-22",796
"2011-07-23",645
"2011-07-24",529
"2011-07-25",647
"2011-07-26",591
"2011-07-27",509
"2011-07-28",179
"2011-07-29",559
"2011-07-30",454
"2011-07-31",564
"2011-08-01",402
"2011-08-02",570
"2011-08-03",437
"2011-08-04",653
"2011-08-05",923
"2011-08-06",765
"2011-08-07",642
"2011-08-08",593
"2011-08-09",574
"2011-08-10",704
"2011-08-11",502
"2011-08-12",579
"2011-08-13",585
"2011-08-14",505
"2011-08-15",548
"2011-08-16",648
"2011-08-17",486
"2011-08-18",574
"2011-08-19",102
"2011-08-20",904
"2011-08-21",595
"2011-08-22",645
"2011-08-23",617
"2011-08-24",552
"2011-08-25",434
"2011-08-26",553
"2011-08-27",621
"2011-08-28",544
"2011-08-29",412
"2011-08-30",653
"2011-08-31",433
"2011-09-01",319
"2011-09-02",434
"2011-09-03",625
"2011-09-04",587
"2011-09-05",587
"2011-09-06",516
"2011-09-07",507
"2011-09-08",485
"2011-09-09",389
"2011-09-10",472
"2011-09-11",532
"2011-09-12",587
"2011-09-13",537
"2011-09-14",540
"2011-09-15",621
"2011-09-16",575
"2011-09-17",367
"2011-09-18",415
"2011-09-19",468
"2011-09-20",600
"2011-09-21",748
"2011-09-22",652
"2011-09-23",700
"2011-09-24",547
"2011-09-25",618
"2011-09-26",676
"2011-09-27",623
"2011-09-28",714
"2011-09-29",633
"2011-09-30",368
"2011-10-01",0
"2011-10-02",655
"2011-10-03",651
"2011-10-04",518
"2011-10-05",480
"2011-10-06",395
"2011-10-07",756
"2011-10-08",400
"2011-10-09",635
"2011-10-10",646
"2011-10-13",594
"2011-10-16",535
"2011-10-21",551
"2011-10-23",562
"2011-10-24",915
"2011-10-25",582
"2011-10-26",620
"2011-10-27",691
"2011-10-28",514
"2011-10-29",505
"2011-10-30",560
"2011-10-31",468
"2011-11-01",607
"2011-11-02",261
"2011-11-03",408
"2011-11-04",620
"2011-11-05",522
"2011-11-06",386
"2011-11-07",547
"2011-11-08",551
"2011-11-09",643
"2011-11-10",620
"2011-11-11",669
"2011-11-12",799
"2011-11-13",552
"2011-11-14",514
"2011-11-15",694
"2011-11-16",514
"2011-11-17",583
"2011-11-18",486
"2011-11-19",541
"2011-11-20",621
"2011-11-21",631
"2011-11-22",599
"2011-11-23",688
"2011-11-24",707
"2011-11-25",566
"2011-11-26",606
"2011-11-27",588
"2011-11-28",475
