"date","power"
"2015-01-01",425
"2015-01-03",480
"2015-01-04",708
"2015-01-05",640
"2015-01-06",450
"2015-01-07",473
"2015-01-08",408
"2015-01-09",411
"2015-01-10",455
"2015-01-11",794
"2015-01-12",604
"2015-01-13",727
"2015-01-14",577
"2015-01-15",614
"2015-01-16",709
"2015-01-17",463
"2015-01-18",601
"2015-01-19",692
"2015-01-20",772
"2015-01-21",632
"2015-01-22",621
"2015-01-24",579
"2015-01-27",856
"2015-01-28",671
"2015-01-29",665
"2015-01-30",862
"2015-02-02",628
"2015-02-03",582
"2015-02-04",492
"2015-02-05",637
"2015-02-06",892
"2015-02-09",663
"2015-02-10",731
"2015-02-11",738
"2015-02-12",524
"2015-02-13",579
"2015-02-14",441
"2015-02-15",729
"2015-02-16",876
"2015-02-18",715
"2015-02-20",542
"2015-02-21",466
"2015-02-22",504
"2015-02-23",518
"2015-02-24",799
"2015-02-25",451
"2015-02-26",584
"2015-02-27",676
"2015-02-28",801
"2015-03-01",701
"2015-03-02",468
"2015-03-03",488
"2015-03-04",596
"2015-03-05",828
"2015-03-07",851
"2015-03-08",634
"2015-03-09",481
"2015-03-10",523
"2015-03-11",750
"2015-03-12",542
"2015-03-14",678
"2015-03-15",766
"2015-03-16",744
"2015-03-17",555
"2015-03-18",578
"2015-03-19",572
"2015-03-21",624
"2015-03-22",507
"2015-03-23",677
"2015-03-24",758
"2015-03-25",794
"2015-03-26",874
"2015-03-27",912
"2015-03-28",781
"2015-03-29",961
"2015-03-30",887
"2015-03-31",792
"2015-04-01",457
"2015-04-02",602
"2015-04-03",728
"2015-04-04",447
"2015-04-05",609
"2015-04-06",479
"2015-04-07",547
"2015-04-08",568
"2015-04-09",645
"2015-04-10",467
"2015-04-11",550
"2015-04-13",467
"2015-04-15",330
"2015-04-16",559
"2015-04-17",663
"2015-04-18",645
"2015-04-19",733
"2015-04-20",783
"2015-04-22",635
"2015-04-23",624
"2015-04-24",761
"2015-04-25",692
"2015-04-26",793
"2015-04-27",556
"2015-04-28",395
"2015-04-29",386
"2015-04-30",355
"2015-05-01",897
"2015-05-02",1113
"2015-05-03",660
"2015-05-04",199
"2015-05-05",207
"2015-05-06",1053
"2015-05-07",714
"2015-05-08",764
"2015-05-09",788
"2015-05-10",708
"2015-05-11",974
"2015-05-12",721
"2015-05-13",701
"2015-05-14",598
"2015-05-15",784
"2015-05-16",827
"2015-05-17",942
"2015-05-18",628
"2015-05-19",883
"2015-05-20",1040
"2015-05-21",650
"2015-05-23",889
"2015-05-24",589
"2015-05-25",705
"2015-05-26",688
"2015-05-28",436
"2015-05-29",721
"2015-05-30",624
"2015-05-31",840
"2015-06-01",1011
"2015-06-02",789
"2015-06-03",927
"2015-06-05",947
"2015-06-06",652
"2015-06-07",1013
"2015-06-09",672
"2015-06-10",578
"2015-06-11",480
"2015-06-12",305
"2015-06-13",839
"2015-06-14",876
"2015-06-15",396
"2015-06-16",782
"2015-06-17",812
"2015-06-18",573
"2015-06-19",461
"2015-06-20",703
"2015-06-23",877
"2015-06-24",940
"2015-06-25",921
"2015-06-26",645
"2015-06-27",680
"2015-06-28",367
"2015-06-29",750
"2015-06-30",938
"2015-07-01",994
"2015-07-02",940
"2015-07-03",818
"2015-07-04",1071
"2015-07-05",1108
"2015-07-08",1059
"2015-07-09",620
"2015-07-10",800
"2015-07-11",557
"2015-07-12",905
"2015-07-13",687
"2015-07-14",687
"2015-07-16",792
"2015-07-17",822
"2015-07-18",505
"2015-07-19",488
"2015-07-20",417
"2015-07-21",814
"2015-07-24",985
"2015-07-25",578
"2015-07-26",737
"2015-08-01",745
"2015-08-02",646
"2015-08-03",784
"2015-08-04",673
"2015-08-05",633
"2015-08-06",643
"2015-08-07",579
