2015/09/16;22.02
2015/09/17;50.44
2015/09/18;50.40
2015/09/19;28.80
2015/09/20;46.92
2015/09/21;37.98
2015/09/22;56.99
2015/09/23;
2015/09/24;
2015/09/25;72.95
2015/09/26;70.17
2015/09/27;44.43
2015/09/28;52.83
2015/09/29;18.78
2015/09/30;7.03
2015/10/01;72.51
2015/10/02;358.43
2015/10/03;212.25
2015/10/04;238.94
2015/10/05;166.52
2015/10/06;42.55
2015/10/07;29.92
2015/10/08;37.59
2015/10/09;83.30
2015/10/10;87.00
2015/10/11;61.34
2015/10/12;55.55
2015/10/13;51.35
2015/10/14;27.14
2015/10/15;24.20
2015/10/16;
2015/10/17;
2015/10/18;
2015/10/19;
2015/10/20;85.96
2015/10/21;52.02
2015/10/22;64.67
2015/10/23;57.35
2015/10/24;32.75
2015/10/25;38.94
2015/10/26;54.30
2015/10/27;70.04
2015/10/28;73.78
2015/10/29;84.87
2015/10/30;110.83
2015/10/31;153.18
2015/11/01;110.07
2015/11/02;106.19
2015/11/03;90.53
2015/11/04;120.60
2015/11/05;139.96
2015/11/06;105.62
2015/11/07;89.34
2015/11/08;88.75
2015/11/09;86.84
2015/11/10;186.41
2015/11/11;207.19
2015/11/12;161.74
2015/11/13;248.62
2015/11/14;319.76
2015/11/15;170.18
2015/11/16;166.66
2015/11/17;186.23
2015/11/18;169.34
2015/11/19;149.69
2015/11/20;168.02
2015/11/21;102.10
2015/11/22;
2015/11/23;123.87
2015/11/24;151.74
2015/11/25;165.09
2015/11/26;277.96
2015/11/27;252.75
2015/11/28;149.72
2015/11/29;98.37
2015/11/30;160.61
2015/12/01;578.82
2015/12/02;500.21
2015/12/03;781.05
2015/12/04;635.11
2015/12/05;344.68
2015/12/06;181.12
2015/12/07;176.21
2015/12/08;171.42
2015/12/09;194.07
2015/12/10;211.20
2015/12/11;156.23
2015/12/12;172.68
2015/12/13;155.36
2015/12/14;223.90
2015/12/15;189.25
2015/12/16;182.95
2015/12/17;211.57
2015/12/18;239.20
2015/12/19;229.50
2015/12/20;186.52
2015/12/21;179.48
2015/12/22;162.22
2015/12/23;175.45
2015/12/24;148.71
2015/12/25;232.65
2015/12/26;349.92
2015/12/27;368.91
2015/12/28;227.38
2015/12/29;131.10
2015/12/30;186.84
2015/12/31;200.10
