"Date","Source","Site ID","POC","Daily Max 8-hour Ozone Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"07/22/2004","AQS","720330008","1","0.009","ppm","8","","14","82.0000","44201","Ozone","41980","San Juan-Carolina-Caguas, PR","72","Puerto Rico","033","Catano","18.4407744036832","-66.1265308194879"
"07/23/2004","AQS","720330008","1","0.011","ppm","10","","17","100.0000","44201","Ozone","41980","San Juan-Carolina-Caguas, PR","72","Puerto Rico","033","Catano","18.4407744036832","-66.1265308194879"
"07/24/2004","AQS","720330008","1","0.009","ppm","8","","17","100.0000","44201","Ozone","41980","San Juan-Carolina-Caguas, PR","72","Puerto Rico","033","Catano","18.4407744036832","-66.1265308194879"
"07/25/2004","AQS","720330008","1","0.018","ppm","17","","17","100.0000","44201","Ozone","41980","San Juan-Carolina-Caguas, PR","72","Puerto Rico","033","Catano","18.4407744036832","-66.1265308194879"
"07/26/2004","AQS","720330008","1","0.01","ppm","9","","17","100.0000","44201","Ozone","41980","San Juan-Carolina-Caguas, PR","72","Puerto Rico","033","Catano","18.4407744036832","-66.1265308194879"
"07/27/2004","AQS","720330008","1","0.014","ppm","13","","17","100.0000","44201","Ozone","41980","San Juan-Carolina-Caguas, PR","72","Puerto Rico","033","Catano","18.4407744036832","-66.1265308194879"
"07/28/2004","AQS","720330008","1","0.009","ppm","8","","17","100.0000","44201","Ozone","41980","San Juan-Carolina-Caguas, PR","72","Puerto Rico","033","Catano","18.4407744036832","-66.1265308194879"
"07/29/2004","AQS","720330008","1","0.009","ppm","8","","17","100.0000","44201","Ozone","41980","San Juan-Carolina-Caguas, PR","72","Puerto Rico","033","Catano","18.4407744036832","-66.1265308194879"
"07/30/2004","AQS","720330008","1","0.021","ppm","19","","17","100.0000","44201","Ozone","41980","San Juan-Carolina-Caguas, PR","72","Puerto Rico","033","Catano","18.4407744036832","-66.1265308194879"
"07/31/2004","AQS","720330008","1","0.012","ppm","11","","17","100.0000","44201","Ozone","41980","San Juan-Carolina-Caguas, PR","72","Puerto Rico","033","Catano","18.4407744036832","-66.1265308194879"
"08/01/2004","AQS","720330008","1","0.012","ppm","11","","17","100.0000","44201","Ozone","41980","San Juan-Carolina-Caguas, PR","72","Puerto Rico","033","Catano","18.4407744036832","-66.1265308194879"
"08/02/2004","AQS","720330008","1","0.009","ppm","8","","17","100.0000","44201","Ozone","41980","San Juan-Carolina-Caguas, PR","72","Puerto Rico","033","Catano","18.4407744036832","-66.1265308194879"
"08/03/2004","AQS","720330008","1","0.014","ppm","13","","17","100.0000","44201","Ozone","41980","San Juan-Carolina-Caguas, PR","72","Puerto Rico","033","Catano","18.4407744036832","-66.1265308194879"
"08/04/2004","AQS","720330008","1","0.015","ppm","14","","17","100.0000","44201","Ozone","41980","San Juan-Carolina-Caguas, PR","72","Puerto Rico","033","Catano","18.4407744036832","-66.1265308194879"
"08/05/2004","AQS","720330008","1","0.012","ppm","11","","17","100.0000","44201","Ozone","41980","San Juan-Carolina-Caguas, PR","72","Puerto Rico","033","Catano","18.4407744036832","-66.1265308194879"
"08/06/2004","AQS","720330008","1","0.01","ppm","9","","17","100.0000","44201","Ozone","41980","San Juan-Carolina-Caguas, PR","72","Puerto Rico","033","Catano","18.4407744036832","-66.1265308194879"
"08/07/2004","AQS","720330008","1","0.014","ppm","13","","17","100.0000","44201","Ozone","41980","San Juan-Carolina-Caguas, PR","72","Puerto Rico","033","Catano","18.4407744036832","-66.1265308194879"
"08/08/2004","AQS","720330008","1","0.017","ppm","16","","17","100.0000","44201","Ozone","41980","San Juan-Carolina-Caguas, PR","72","Puerto Rico","033","Catano","18.4407744036832","-66.1265308194879"
"08/09/2004","AQS","720330008","1","0.007","ppm","6","","17","100.0000","44201","Ozone","41980","San Juan-Carolina-Caguas, PR","72","Puerto Rico","033","Catano","18.4407744036832","-66.1265308194879"
"08/10/2004","AQS","720330008","1","0.012","ppm","11","","17","100.0000","44201","Ozone","41980","San Juan-Carolina-Caguas, PR","72","Puerto Rico","033","Catano","18.4407744036832","-66.1265308194879"
"08/11/2004","AQS","720330008","1","0.01","ppm","9","","17","100.0000","44201","Ozone","41980","San Juan-Carolina-Caguas, PR","72","Puerto Rico","033","Catano","18.4407744036832","-66.1265308194879"
"08/12/2004","AQS","720330008","1","0.009","ppm","8","","17","100.0000","44201","Ozone","41980","San Juan-Carolina-Caguas, PR","72","Puerto Rico","033","Catano","18.4407744036832","-66.1265308194879"
"08/13/2004","AQS","720330008","1","0.011","ppm","10","","17","100.0000","44201","Ozone","41980","San Juan-Carolina-Caguas, PR","72","Puerto Rico","033","Catano","18.4407744036832","-66.1265308194879"
"08/14/2004","AQS","720330008","1","0.011","ppm","10","","17","100.0000","44201","Ozone","41980","San Juan-Carolina-Caguas, PR","72","Puerto Rico","033","Catano","18.4407744036832","-66.1265308194879"
"08/15/2004","AQS","720330008","1","0.011","ppm","10","","17","100.0000","44201","Ozone","41980","San Juan-Carolina-Caguas, PR","72","Puerto Rico","033","Catano","18.4407744036832","-66.1265308194879"
"08/16/2004","AQS","720330008","1","0.006","ppm","6","","17","100.0000","44201","Ozone","41980","San Juan-Carolina-Caguas, PR","72","Puerto Rico","033","Catano","18.4407744036832","-66.1265308194879"
"08/17/2004","AQS","720330008","1","0.006","ppm","6","","17","100.0000","44201","Ozone","41980","San Juan-Carolina-Caguas, PR","72","Puerto Rico","033","Catano","18.4407744036832","-66.1265308194879"
