"date","isal","cape"
"2008-01-03",-314.27,2.49
"2008-01-04",-229.38,18.56
"2008-01-05",-175.24,16.67
"2008-01-06",-234.02,0
"2008-01-07",-173.86,104.53
"2008-01-08",-218.13,0.08
"2008-01-09",-179.54,0
"2008-01-10",-198.23,0.99
"2008-01-11",-145.21,93.03
"2008-01-12",-192.25,513.1
"2008-01-13",-181.17,36.27
"2008-01-14",-209.16,0
"2008-01-15",-164.8,56.99
"2008-01-16",-149.41,36.04
"2008-01-17",-185.23,0
"2008-01-18",-161.38,17.62
"2008-01-19",-214.61,39.51
"2008-01-20",-229.9,1127.31
"2008-01-21",-134.68,927.06
"2008-01-22",-114.12,143.99
"2008-01-23",-187.61,93.81
"2008-01-25",-207.46,78.34
"2008-01-26",-246.88,84.98
"2008-01-27",-247.61,0
"2008-01-28",-293.62,0
"2008-01-29",-224.55,0
"2008-01-30",-202.92,4.11
"2008-01-31",-322.95,0
"2008-02-01",-138.98,0
"2008-02-03",-202.25,0
"2008-02-04",-193.2,0.09
"2008-02-05",-203.82,21.1
"2008-02-06",-224.84,387.19
"2008-02-07",-195.26,354.16
"2008-02-08",-180.07,596.57
"2008-02-09",-207.52,386.32
"2008-02-10",-205.53,305.37
"2008-02-11",-119.19,477.57
"2008-02-12",-162.05,511.55
"2008-02-13",-157.52,123.39
"2008-02-14",-164.14,0
"2008-02-15",-222.35,3.42
"2008-02-16",-294.59,0
"2008-02-17",-238.62,5.82
"2008-02-18",-173.56,18.73
"2008-02-19",-110.94,0.63
"2008-02-20",-172.78,11.06
"2008-02-21",-189.5,0.57
"2008-02-22",-340.93,0
"2008-02-23",-320.66,5.15
"2008-02-24",-274.11,0.14
"2008-02-25",-171.09,37.24
"2008-02-26",-316.51,16.16
"2008-02-27",-313.44,2.37
"2008-02-28",-381.42,0
"2008-03-01",-305.47,0
"2008-03-02",-265.75,1.05
"2008-03-03",-232.93,0
"2008-03-04",-221.31,77.44
"2008-03-05",-204.65,0
"2008-03-06",-199.36,55.19
