"date","isal","cape"
"2012-01-01",-214.85,211.54
"2012-01-02",-136.41,0
"2012-01-03",-179.03,365.23
"2012-01-04",-220.32,34.43
"2012-01-05",-198.47,0
"2012-01-06",-202.83,13.15
"2012-01-07",-160.8,955.62
"2012-01-08",-187.79,0
"2012-01-09",-156.8,245.31
"2012-01-10",-295.94,0
"2012-01-11",-162.6,580.9
"2012-01-12",-246.72,3.72
"2012-01-14",-288.83,0
"2012-01-15",-222.77,53.2
"2012-01-16",-205.32,0
"2012-01-17",-155.91,147.14
"2012-01-18",-195.81,0
"2012-01-19",-136.47,95.16
"2012-01-20",-232.64,242.81
"2012-01-21",-238.3,878.23
"2012-01-22",-246.88,64.76
"2012-01-23",-328.54,0
"2012-01-24",-171.86,1709.27
"2012-01-25",-169.06,65.03
"2012-01-26",-178.43,36.84
"2012-01-27",-183.62,210.75
"2012-01-28",-290.43,13.24
"2012-01-29",-224.21,29.58
"2012-01-30",-203.89,172.3
"2012-01-31",-183.1,3.01
"2012-02-01",-123.37,236.49
"2012-02-02",-132.93,188.53
"2012-02-03",-192.47,117.98
"2012-02-04",-182.45,77.82
"2012-02-05",-212.97,46.51
"2012-02-06",-234.63,80.72
"2012-02-07",-6.28,3.73
"2012-02-08",-244.7,147.83
"2012-02-09",-220.55,254.24
"2012-02-10",-206.33,235.77
"2012-02-11",-232.44,17.49
"2012-02-12",-230.22,53.92
"2012-02-13",-255.29,1013.01
"2012-02-14",-253.49,0.12
"2012-02-15",-194.22,24.65
"2012-02-16",-277.45,34.62
"2012-02-17",-267.37,16.75
"2012-02-18",-194.07,0
"2012-02-19",-338.32,145.42
"2012-02-20",-321.72,178.29
"2012-02-21",-341.58,407.37
"2012-02-22",-211.96,247.17
"2012-02-23",-284.55,330.8
"2012-02-24",-185.56,739.64
"2012-02-25",-220.64,183.1
"2012-02-26",-225.04,0.74
"2012-02-27",-180.33,252.64
"2012-02-28",-235.94,13.92
"2012-03-01",-196.48,20.27
"2012-03-02",-238.19,1148.52
"2012-03-03",-147.3,387.12
"2012-03-04",-214.82,2.77
"2012-03-05",-205.87,339.7
"2012-03-06",-200.76,16.7
"2012-03-07",-194.32,228.75
"2012-03-08",-170.29,26.56
"2012-03-09",-222.54,0
"2012-03-10",-206.06,1099.34
"2012-03-11",-231.77,209.72
"2012-03-12",-196.96,234.38
"2012-03-13",-249.87,54.48
"2012-03-14",-198.67,114.44
"2012-03-15",-202.51,15.15
"2012-03-16",-265.46,1023.92
"2012-03-17",-242.01,317.62
"2012-03-18",-229.54,15.7
"2012-03-19",-183.91,674.44
"2012-03-20",-211.93,762.78
"2012-03-21",-204.78,826.88
"2012-03-22",-90.99,218.03
"2012-03-23",-244.51,200.32
"2012-03-24",-248,1354.71
"2012-03-25",-204.66,1.48
"2012-03-26",-198.99,960.13
"2012-03-27",-246.86,523.48
"2012-03-28",-176.9,1329.07
"2012-03-29",-186.59,741.12
"2012-03-30",-239.68,190.51
"2012-03-31",-242.12,398.26
"2012-04-01",-246.62,19.51
"2012-04-02",-237.23,579.37
"2012-04-03",-238.71,419.57
"2012-04-04",-195.12,169.26
"2012-04-05",-162.06,51.81
"2012-04-06",-209.05,342.2
"2012-04-07",-190.74,469.46
"2012-04-08",-189.86,333.65
"2012-04-09",-157.85,607.12
"2012-04-10",-157.64,401.69
"2012-04-11",-240.94,1079.89
"2012-04-12",-95.29,1182.26
"2012-04-13",-231.24,679.72
