"date","isal","cape"
"2006-01-01",-202.29,84.91
"2006-01-02",-232.38,200.24
"2006-01-03",-285.61,18.03
"2006-01-04",-239.57,50.11
"2006-01-05",-172.52,633.25
"2006-01-06",-204.01,67.78
"2006-01-07",-196.29,200.49
"2006-01-08",-209.83,159.25
"2006-01-09",-235.27,104.42
"2006-01-10",-188.76,582.22
"2006-01-11",-161.17,216.31
"2006-01-12",-212.77,484.56
"2006-01-13",-226.82,405.54
"2006-01-14",-232.24,681.78
"2006-01-15",-198.99,639.79
"2006-01-16",-151.26,1255.8
"2006-01-17",-205.4,468.51
"2006-01-18",-191.85,477.5
"2006-01-19",-113.8,538.9
"2006-01-20",-51.56,0
"2006-01-21",-196.89,540.11
"2006-01-22",-221.78,344.5
"2006-01-23",-225.41,102.71
"2006-01-24",-252.66,90.12
"2006-01-25",-262.31,165.16
"2006-01-26",-282.45,57.1
"2006-01-27",-280.95,87.69
"2006-01-28",-343.11,93.95
"2006-01-29",-167.93,198.12
"2006-01-30",-151.88,379.92
"2006-01-31",-167.71,83.04
"2006-02-01",-220.41,83.95
"2006-02-02",-298.86,7.81
"2006-02-03",-254.81,144.21
"2006-02-04",-410.11,4.14
"2006-02-05",-241.29,31.44
"2006-02-06",-252.83,43.58
"2006-02-07",-227.9,5.09
"2006-02-08",-257.25,776.67
"2006-02-09",-242.19,71.76
"2006-02-10",-247.48,0
"2006-02-11",-249.63,58.45
"2006-02-12",-261.06,10.05
"2006-02-13",-295.49,20.05
"2006-02-14",-316.83,81.62
"2006-02-15",-296.64,30.15
"2006-02-16",-212.07,192.9
"2006-02-17",-235.46,0.01
"2006-02-18",-176.62,728.73
"2006-02-19",-162.6,0
"2006-02-20",-255.31,182.46
"2006-02-21",-184.05,2.86
"2006-02-22",-215.59,573.69
"2006-02-23",-341.92,10.69
"2006-02-24",-296.2,58.88
"2006-02-25",-313.58,38.99
"2006-02-26",-345.29,39.24
"2006-02-27",-402.21,10.69
"2006-02-28",-302.05,0
"2006-03-01",-184.14,0
"2006-03-02",-313.44,32.46
"2006-03-03",-274,47.44
"2006-03-04",-229.54,0.8
"2006-03-05",-112.3,117.37
