"date","power"
"2008-01-01",158
"2008-01-03",889
"2008-01-04",920
"2008-01-05",547
"2008-01-06",671
"2008-01-07",565
"2008-01-08",547
"2008-01-09",540
"2008-01-10",557
"2008-01-11",640
"2008-01-12",463
"2008-01-13",492
"2008-01-14",636
"2008-01-15",555
"2008-01-17",488
"2008-01-18",679
"2008-01-19",489
"2008-01-20",661
"2008-01-21",676
"2008-01-22",881
"2008-01-23",826
"2008-01-24",736
"2008-01-25",639
"2008-01-26",489
"2008-01-27",806
"2008-01-28",698
"2008-01-29",755
"2008-01-30",681
"2008-01-31",917
"2008-02-01",461
"2008-02-02",437
"2008-02-03",156
"2008-02-04",447
"2008-02-05",432
"2008-02-06",559
"2008-02-07",696
"2008-02-08",625
"2008-02-09",652
"2008-02-10",832
"2008-02-11",431
"2008-02-12",508
"2008-02-13",457
"2008-02-14",549
"2008-02-15",580
"2008-02-16",880
"2008-02-17",721
"2008-02-18",498
"2008-02-19",502
"2008-02-20",657
"2008-02-21",614
"2008-02-22",942
"2008-02-23",988
"2008-02-24",811
"2008-02-25",689
"2008-02-26",894
"2008-02-27",811
"2008-02-28",568
"2008-03-01",263
"2008-03-03",707
"2008-03-04",583
"2008-03-05",622
"2008-03-06",448
"2008-03-07",504
"2008-03-08",677
"2008-03-09",437
"2008-03-10",479
"2008-03-11",445
"2008-03-12",671
"2008-03-13",812
"2008-03-14",633
"2008-03-15",648
"2008-03-16",825
"2008-03-17",797
"2008-03-18",592
"2008-03-19",675
"2008-03-20",779
"2008-03-21",778
"2008-03-22",820
"2008-03-24",1015
"2008-03-25",789
"2008-03-26",703
"2008-03-27",815
"2008-03-29",537
"2008-03-31",572
"2008-04-01",240
"2008-04-02",595
"2008-04-03",515
"2008-04-04",649
"2008-04-05",732
"2008-04-06",686
"2008-04-07",943
"2008-04-08",688
"2008-04-09",697
"2008-04-10",722
"2008-04-11",881
"2008-04-12",580
"2008-04-13",558
"2008-04-15",717
"2008-04-16",868
"2008-04-17",1191
"2008-04-18",894
"2008-04-19",722
"2008-04-20",731
"2008-04-21",542
"2008-04-22",486
"2008-04-23",581
"2008-04-24",775
"2008-04-25",860
"2008-04-26",479
"2008-04-27",649
"2008-04-28",754
"2008-04-29",568
"2008-04-30",709
"2008-05-01",684
"2008-05-02",760
"2008-05-03",506
"2008-05-04",731
"2008-05-05",666
"2008-05-06",600
"2008-05-07",704
"2008-05-08",812
"2008-05-10",1010
"2008-05-11",790
"2008-05-12",764
"2008-05-13",710
"2008-05-14",856
"2008-05-16",826
"2008-05-17",1010
"2008-05-18",1075
"2008-05-19",872
"2008-05-20",708
"2008-05-21",588
"2008-05-22",749
"2008-05-24",517
"2008-05-25",504
"2008-05-26",517
"2008-05-27",557
"2008-05-28",705
"2008-05-29",847
"2008-05-30",688
"2008-05-31",470
"2008-06-01",370
"2008-06-02",601
"2008-06-03",736
"2008-06-04",677
"2008-06-06",585
"2008-06-07",719
"2008-06-08",739
"2008-06-09",690
"2008-06-10",658
"2008-06-11",623
"2008-06-12",652
"2008-06-13",685
"2008-06-14",754
"2008-06-15",555
"2008-06-16",464
"2008-06-18",698
"2008-06-19",1032
"2008-06-20",752
"2008-06-21",695
"2008-06-22",695
"2008-06-23",657
"2008-06-24",777
"2008-06-25",922
"2008-06-26",870
"2008-06-27",649
"2008-06-28",789
"2008-06-29",587
"2008-06-30",928
"2008-07-01",806
"2008-07-02",726
"2008-07-03",609
"2008-07-04",592
"2008-07-05",690
"2008-07-06",632
"2008-07-07",585
"2008-07-08",642
"2008-07-09",683
"2008-07-10",865
"2008-07-11",733
"2008-07-12",770
"2008-07-13",571
"2008-07-14",472
"2008-07-15",759
"2008-07-16",434
"2008-07-17",820
"2008-07-18",570
"2008-07-19",723
"2008-07-20",473
"2008-07-21",704
"2008-07-22",826
"2008-07-23",574
"2008-07-24",546
"2008-07-25",596
"2008-07-26",637
"2008-07-27",707
"2008-07-28",755
"2008-07-29",569
"2008-07-30",540
"2008-07-31",514
"2008-08-01",41
"2008-08-02",529
"2008-08-03",600
"2008-08-04",420
"2008-08-05",761
"2008-08-06",805
"2008-08-07",835
"2008-08-09",522
"2008-08-10",661
"2008-08-11",741
"2008-08-12",719
"2008-08-13",545
"2008-08-14",672
"2008-08-15",498
"2008-08-16",707
"2008-08-17",725
"2008-08-18",639
"2008-08-19",515
"2008-08-20",637
"2008-08-21",544
"2008-08-22",522
"2008-08-23",518
"2008-08-24",876
"2008-08-25",662
"2008-08-26",585
"2008-08-27",644
"2008-08-28",519
"2008-08-29",399
"2008-08-30",329
"2008-08-31",539
"2008-09-01",683
"2008-09-02",866
"2008-09-03",501
"2008-09-04",356
"2008-09-05",476
"2008-09-06",568
"2008-09-07",511
"2008-09-08",462
"2008-09-09",570
"2008-09-10",625
"2008-09-11",636
"2008-09-12",673
"2008-09-13",61
"2008-09-14",604
"2008-09-15",484
"2008-09-16",578
"2008-09-17",568
"2008-09-18",568
"2008-09-19",704
"2008-09-20",512
"2008-09-21",394
"2008-09-22",459
"2008-09-23",676
"2008-09-24",601
"2008-09-25",651
"2008-09-26",464
"2008-09-27",606
"2008-09-28",643
"2008-09-29",567
"2008-09-30",593
"2008-10-01",218
"2008-10-02",561
"2008-10-03",561
"2008-10-04",690
"2008-10-05",595
"2008-10-06",327
"2008-10-07",526
"2008-10-08",62
"2008-10-09",499
"2008-10-10",485
"2008-10-11",587
"2008-10-12",537
"2008-10-13",517
"2008-10-14",411
"2008-10-15",544
"2008-10-17",539
"2008-10-19",764
"2008-10-21",653
"2008-10-22",683
"2008-10-23",817
"2008-10-25",541
"2008-10-26",452
"2008-10-27",500
"2008-10-28",687
"2008-10-29",540
"2008-10-30",639
"2008-10-31",574
"2008-11-01",27
"2008-11-02",632
"2008-11-03",676
"2008-11-04",834
"2008-11-05",555
"2008-11-06",618
"2008-11-07",631
"2008-11-08",712
"2008-11-09",323
"2008-11-10",635
"2008-11-11",856
"2008-11-12",610
"2008-11-13",548
"2008-11-14",651
"2008-11-15",503
"2008-11-16",635
"2008-11-17",531
"2008-11-18",845
"2008-11-19",761
"2008-11-20",420
"2008-11-22",487
"2008-11-23",769
"2008-11-24",755
"2008-11-25",701
"2008-11-26",651
"2008-11-27",688
"2008-11-28",679
"2008-11-29",523
"2008-11-30",924
"2008-12-01",458
