"date","isal","cape"
"2010-01-01",-187.81,633.36
"2010-01-05",-241.5,417.22
"2010-01-06",-316.24,0
"2010-01-07",-331.78,27.06
"2010-01-08",-309.06,13.2
"2010-01-09",-391.1,0
"2010-01-10",-212.1,18.13
"2010-01-11",-292.33,22.05
"2010-01-12",-296.24,31.8
"2010-01-13",-344,159.39
"2010-01-14",-354.57,20.29
"2010-01-15",-404.76,0
"2010-01-16",-331.15,10.97
"2010-01-17",-63.57,81.04
"2010-01-19",-344.39,38.77
"2010-01-20",-243.41,0.11
"2010-01-21",-243.53,857.32
"2010-01-22",-255.75,0
"2010-01-23",-212.91,594.39
"2010-01-24",-247.88,0
"2010-01-25",-242.67,108.42
"2010-01-26",-58.52,4.57
"2010-01-27",-375.66,0
"2010-01-28",-232.49,134.43
"2010-01-29",-339.8,0
"2010-01-30",-315.96,4.03
"2010-02-01",-270.04,51.93
"2010-02-02",-381.82,2.08
"2010-02-03",-330.86,5.9
"2010-02-04",-320.87,0.47
"2010-02-05",-392.27,13.94
"2010-02-06",-301.77,24.01
"2010-02-07",-463.92,34.11
"2010-02-08",-363.6,1.58
"2010-02-09",-320.86,467.24
"2010-02-10",-221.45,18.62
"2010-02-11",-115.47,38.85
"2010-02-12",-175.82,0
"2010-02-13",-316.12,1.93
"2010-02-14",-295.77,54.68
"2010-02-15",-428.83,165.3
"2010-02-16",-274.92,772.82
"2010-02-17",-317.4,22.37
"2010-02-18",-435.16,118.12
"2010-02-19",-385.65,18.76
"2010-02-20",-375.8,0.15
"2010-02-21",-353.64,8.03
"2010-02-22",-317.81,37.06
"2010-02-23",-181.27,0
"2010-02-24",-222.83,307.05
"2010-02-25",-256.29,247.99
"2010-02-26",-343.89,78.61
"2010-02-27",-292.41,194.97
"2010-02-28",-315.73,14.66
"2010-03-01",-322.99,56.91
"2010-03-02",-250.19,28.55
"2010-03-03",-381.41,275.49
"2010-03-04",-244.86,34.37
"2010-03-05",-313.2,363.64
"2010-03-06",-277.36,0
"2010-03-07",-222.83,265.86
"2010-03-08",-181.31,605.75
"2010-03-09",-227.78,325.82
"2010-03-10",-190.04,860.06
"2010-03-11",-200.1,184.84
"2010-03-12",-199.79,735.51
"2010-03-13",-258.95,0
"2010-03-14",-158.22,886.15
"2010-03-15",-267.84,33.62
"2010-03-16",-207.19,0
"2010-03-17",-291.57,40.13
"2010-03-18",-167.18,45.67
"2010-03-19",-252.58,73.55
"2010-03-20",-359.86,0
"2010-03-21",-297.91,5.04
"2010-03-22",-289.16,0
"2010-03-25",-287.34,0
"2010-03-26",-221.67,0.35
"2010-03-27",-217.52,968.6
"2010-03-29",-235.22,45.14
"2010-03-30",-247.36,0
"2010-03-31",-215.53,40.8
"2010-04-01",-79.96,266.69
"2010-04-02",-193.09,0
"2010-04-03",-228.37,105.1
"2010-04-04",-307.59,0
"2010-04-05",-245.95,41.98
"2010-04-06",-204.66,73.15
"2010-04-07",-142.7,196.75
"2010-04-08",-220.77,208.67
"2010-04-09",-214.83,189.21
"2010-04-10",-242.42,268.56
"2010-04-11",-207.32,508.12
"2010-04-13",-207.22,1007.8
"2010-04-14",-122.28,1.83
"2010-04-15",-173.37,0
"2010-04-16",-261.02,0.02
"2010-04-17",-204.5,0
"2010-04-18",-180.35,115.83
"2010-04-19",-273.18,10.74
"2010-04-20",-217.45,325.92
"2010-04-21",-255.09,0
"2010-04-22",-214.41,156.22
"2010-04-23",-269.16,0
"2010-04-24",-275.22,0
"2010-04-25",-203.33,34.34
"2010-04-26",-198.2,0
"2010-04-27",-203.63,273.05
"2010-04-28",-195.37,31.69
"2010-04-29",-204.89,0
"2010-04-30",-256.64,0
"2010-05-01",-214.53,0
"2010-05-02",-224.49,125.24
"2010-05-03",-197.11,223.42
"2010-05-04",-187.53,0.04
"2010-05-06",-237.36,436.91
"2010-05-07",-204.42,0
"2010-05-08",-237.16,119.63
"2010-05-09",-201.84,0
"2010-05-10",-194.99,522.43
"2010-05-11",-157.94,393.93
"2010-05-12",-180.22,392.44
"2010-05-13",-169.87,812.1
"2010-05-14",-189.69,281.18
"2010-05-15",-188.9,707.64
"2010-05-16",-257.12,7.15
"2010-05-17",-205.22,671.25
"2010-05-18",-229.7,3.49
"2010-05-19",-182.85,939.73
"2010-05-20",-216.54,510.91
"2010-05-21",-211.35,20.99
"2010-05-22",-240.5,514.95
"2010-05-23",-199.85,1089.56
"2010-05-24",-174.79,575.03
"2010-05-25",-213.96,232.54
"2010-05-26",-251.34,757.89
"2010-05-27",-214.36,0
"2010-05-28",-229.33,2340.15
"2010-05-29",-207.93,3.25
"2010-05-30",-200.53,1218.6
"2010-05-31",-249.05,1273.66
"2010-06-01",-229.56,79.64
"2010-06-02",-212.5,80.64
"2010-06-03",-151.4,277.05
"2010-06-04",-217.37,0
"2010-06-05",-195.14,960.37
"2010-06-06",-209.01,1525.88
"2010-06-07",-245.48,18.22
"2010-06-08",-197.25,334.34
"2010-06-09",-144.79,1057.51
"2010-06-10",-96.28,1736.74
"2010-06-11",-171.15,0
"2010-06-12",-192.27,606.09
"2010-06-13",-159.04,0
"2010-06-14",-185.16,551.16
"2010-06-15",-227.46,0
"2010-06-16",-163.91,1973.92
"2010-06-17",-159.11,481.03
"2010-06-18",-239.36,124.15
"2010-06-19",-161.12,1386.39
"2010-06-20",-204.18,639.48
"2010-06-21",-209.61,47.13
"2010-06-22",-223.92,298.84
"2010-06-23",-173.28,2326.89
"2010-06-25",-181.58,111.45
"2010-06-26",-147.84,4.23
"2010-06-27",-264.6,2945.43
"2010-06-28",-217.62,74.97
"2010-06-29",-180.42,73.9
"2010-06-30",-224.44,3902.02
"2010-07-01",-75.88,1133.83
"2010-07-02",-208.17,1912.61
"2010-07-03",-181.45,1948.39
"2010-07-04",-197.35,249.52
"2010-07-05",-164.4,2559.06
"2010-07-06",-217.56,2000.41
"2010-07-07",-192.29,1521.68
"2010-07-08",-135.18,14.02
"2010-07-09",-222.38,160.07
"2010-07-10",-259.36,3245.44
"2010-07-11",-171.85,3070.75
"2010-07-12",-175.74,955.76
"2010-07-13",-183.11,1348.21
"2010-07-14",-181.5,443.39
"2010-07-15",-185.67,152.33
"2010-07-16",-174.78,158.74
"2010-07-17",-207.65,2538.4
"2010-07-18",-230.52,1059.28
"2010-07-19",-225.63,2489.12
"2010-07-20",-221.52,1290.12
"2010-07-21",-190.42,144.72
"2010-07-23",-180.7,790.53
"2010-07-24",-217.42,486.12
"2010-07-25",-211.09,1520.65
"2010-07-26",-232.54,287.53
"2010-07-27",-173.48,933.39
"2010-07-28",-262.24,645.69
"2010-07-29",-129.42,2178.74
"2010-07-30",-247.37,1301.98
"2010-08-01",-235.72,1259.36
"2010-08-02",-173.33,1871.79
"2010-08-03",-176.69,1824.82
"2010-08-04",-195.24,2246.9
"2010-08-05",-215.58,556.19
"2010-08-06",-253.24,137.52
"2010-08-07",-208.71,0.05
"2010-08-08",-180.07,1009.9
"2010-08-09",-204.68,785.3
"2010-08-10",-209.19,1933.46
"2010-08-11",-218.3,1170.56
"2010-08-12",-204.34,2243.06
"2010-08-13",-231.6,367.27
"2010-08-14",-165.64,724.26
"2010-08-15",-174.55,2669.67
"2010-08-16",-174.35,2079.03
"2010-08-17",-223.23,1563.99
"2010-08-18",-219.15,1525.86
"2010-08-19",-153.01,947.9
"2010-08-20",-197.11,744.02
"2010-08-21",-216.68,812.28
"2010-08-22",-219.46,2178.05
"2010-08-23",-200.8,2309.09
"2010-08-24",-142.99,543.69
"2010-08-25",-155.2,2.47
"2010-08-26",-226.11,1799.93
"2010-08-27",-207.05,67.62
"2010-08-28",-205.44,1235.61
"2010-08-29",-198,1263.64
"2010-08-30",-196.05,1207.32
"2010-08-31",-190.95,1162.61
"2010-09-01",-178.18,679.71
"2010-09-02",-196.09,1258.85
"2010-09-03",-258.3,1855.95
"2010-09-04",-174.78,0
"2010-09-05",-212.13,578.07
"2010-09-06",-205.71,31.38
"2010-09-07",-138.15,453.67
"2010-09-08",-120.6,207.63
"2010-09-09",-185.96,28.31
"2010-09-10",-169.29,743.23
"2010-09-11",-274.49,1961.17
"2010-09-13",-161.43,89.2
"2010-09-14",-226.08,91.89
"2010-09-15",-222.65,2583.88
"2010-09-16",-175.49,1159.81
"2010-09-17",-145.92,274.01
"2010-09-18",-96.07,764.76
