"date","power"
"2007-11-30",473
"2007-12-01",74
"2007-12-02",676
"2007-12-03",618
"2007-12-04",593
"2007-12-05",629
"2007-12-06",675
"2007-12-07",487
"2007-12-08",525
"2007-12-09",520
"2007-12-10",589
"2007-12-11",659
"2007-12-12",497
"2007-12-13",572
"2007-12-14",815
"2007-12-15",701
"2007-12-16",579
"2007-12-17",434
"2007-12-18",847
"2007-12-19",787
"2007-12-20",560
"2007-12-21",575
"2007-12-22",742
"2007-12-23",759
"2007-12-24",520
"2007-12-25",514
"2007-12-26",822
"2007-12-27",562
"2007-12-28",482
"2007-12-29",948
"2007-12-30",889
"2007-12-31",630
