"date","isal","cape"
"2007-07-18",-174.16,2500
"2007-07-19",-202.32,1111.89
"2007-07-20",-213.33,545.89
"2007-07-21",-292.64,1564.32
"2007-07-22",-190.87,1789.71
"2007-07-23",-169.48,1423.74
"2007-07-24",-244.97,772.59
"2007-07-25",-274.55,890.34
"2007-07-26",-225.14,1049.64
"2007-07-27",-249.03,851.18
"2007-07-28",-206.46,727.78
"2007-07-29",-185.99,639.67
"2007-07-30",-198.96,1573.89
"2007-07-31",-239.89,969.9
"2007-08-01",-228.8,1416.47
"2007-08-02",-247.34,1623.94
"2007-08-03",-254.52,1600.65
"2007-08-04",-208.4,614.7
"2007-08-05",-196.07,529.37
"2007-08-07",-188.35,2228.96
"2007-08-08",-255.25,1470.43
"2007-08-09",-211.15,55.31
"2007-08-10",-197.61,3275.65
"2007-08-11",-191,479.76
"2007-08-12",-201.15,2076.43
"2007-08-13",-202.44,1583.27
"2007-08-14",-194.61,2609.63
"2007-08-15",-238.36,1103.59
"2007-08-16",-218.57,534.22
"2007-08-17",-180.24,2050
"2007-08-18",-188.54,531.91
"2007-08-19",-210.91,864.24
"2007-08-20",-238.29,997.03
"2007-08-21",-208.66,1344.47
"2007-08-22",-153.85,794.22
"2007-08-23",-208.27,2456.58
"2007-08-24",-183.99,1121.24
"2007-08-25",-191.47,1356.63
"2007-08-26",-176.93,1549.37
"2007-08-27",-174.08,1902.6
"2007-08-28",-194.56,260
"2007-08-29",-194.67,429.36
"2007-08-30",-171.96,726.13
"2007-08-31",-242.76,1206.25
"2007-09-01",-96.79,1628.21
"2007-09-02",-122.39,769.97
"2007-09-03",-179.23,957.93
"2007-09-04",-142.06,1596.77
"2007-09-05",-184.25,1658.57
"2007-09-06",-227.91,601.07
"2007-09-07",273.37,5848.92
"2007-09-08",-197.08,458.06
"2007-09-09",-198.64,1409.12
"2007-09-10",-184.19,1546.95
"2007-09-11",-93.34,1164.47
"2007-09-12",-203.19,1716.91
"2007-09-13",-177.94,1500.48
"2007-09-14",-129.62,2016.74
"2007-09-15",-249.49,523.68
"2007-09-16",-200.17,0
"2007-09-17",-208.96,967.11
"2007-09-18",-160.75,2626.1
"2007-09-19",-183.96,1519.4
"2007-09-20",-223.47,1274.74
"2007-09-21",-207.13,1091.54
"2007-09-22",-222.55,1098.75
"2007-09-23",-199.38,695.51
"2007-09-24",-219.37,1487.49
"2007-09-25",-213.25,1455.92
"2007-09-26",-191.68,1592.09
"2007-09-27",-229.06,1919.41
"2007-09-28",-159.95,790.72
"2007-09-29",-171.38,1667.35
"2007-09-30",-171.65,2169.4
"2007-10-01",-45.58,2270.91
"2007-10-02",-159.89,1076.16
"2007-10-03",-206.45,2352
"2007-10-04",-218.8,2111.1
"2007-10-05",-217.23,2357.84
"2007-10-07",-226.09,723.04
"2007-10-08",-143.2,2280.51
"2007-10-09",-204.68,1315.73
"2007-10-10",-229.27,1138.38
"2007-10-11",-192.91,1170.84
"2007-10-12",-172.98,7.88
"2007-10-13",-198.12,639.72
"2007-10-14",-237.84,1150.09
"2007-10-15",-213.02,346
"2007-10-16",-203.51,520.98
"2007-10-17",-177.5,74.92
"2007-10-18",-221.28,17.08
"2007-10-19",-169.69,0.38
"2007-10-20",-184.87,1871.65
"2007-10-21",-213.13,195.93
"2007-10-22",-185.11,526.14
"2007-10-23",-201.94,2046.67
"2007-10-24",-174.39,1694.59
"2007-10-25",-203.36,39.33
"2007-10-26",-143.89,360.44
"2007-10-27",-110.33,271.32
"2007-10-28",-150.01,215.74
"2007-10-29",-205.27,1081.18
"2007-10-30",-136.41,1822.86
"2007-10-31",-164.97,273.79
"2007-11-01",-81.6,682.36
"2007-11-02",-217.39,1324.44
"2007-11-03",-254.58,1258.38
"2007-11-04",-185.7,956.93
"2007-11-05",-172.06,1538.8
"2007-11-06",-163.03,1223.46
"2007-11-07",-179.07,234.32
"2007-11-08",-180.67,691.95
"2007-11-09",-160.84,410.78
"2007-11-10",-204.09,802.76
"2007-11-11",-232.79,742.47
"2007-11-12",-258.81,358.07
"2007-11-13",-256.19,427.48
"2007-11-14",-254.67,534.61
"2007-11-15",-211.56,380.87
