pressure,height,temperature,dewpoint,direction,speed,u_wind,v_wind,station,station_number,time,latitude,longitude,elevation,pw
1015.0,19,22.2,18.3,150.0,5.0,-2.4999999999999996,4.330127018922194,TJSJ,78526,1973-02-18 12:00:00,18.43,-66.0,19.0,31.02
1000.0,137,22.4,18.9,120.0,4.0,-3.464101615137755,1.9999999999999991,TJSJ,78526,1973-02-18 12:00:00,18.43,-66.0,19.0,31.02
981.0,304,21.1,18.7,90.0,4.0,-4.0,-2.4492935982947064e-16,TJSJ,78526,1973-02-18 12:00:00,18.43,-66.0,19.0,31.02
960.0,492,19.6,18.5,84.0,3.0,-2.9835656861048196,-0.31358538980296036,TJSJ,78526,1973-02-18 12:00:00,18.43,-66.0,19.0,31.02
947.0,609,19.5,16.5,80.0,3.0,-2.954423259036624,-0.5209445330007912,TJSJ,78526,1973-02-18 12:00:00,18.43,-66.0,19.0,31.02
935.0,719,19.4,14.6,84.0,4.0,-3.978087581473093,-0.41811385307061383,TJSJ,78526,1973-02-18 12:00:00,18.43,-66.0,19.0,31.02
913.9,914,18.1,13.2,90.0,5.0,-5.0,-3.061616997868383e-16,TJSJ,78526,1973-02-18 12:00:00,18.43,-66.0,19.0,31.02
881.9,1219,16.0,11.0,80.0,5.0,-4.92403876506104,-0.8682408883346521,TJSJ,78526,1973-02-18 12:00:00,18.43,-66.0,19.0,31.02
850.0,1533,13.8,8.8,70.0,8.0,-7.5175409662872665,-2.7361611466053506,TJSJ,78526,1973-02-18 12:00:00,18.43,-66.0,19.0,31.02
825.0,1785,13.4,5.4,53.0,8.0,-6.389084080378343,-4.814520185216387,TJSJ,78526,1973-02-18 12:00:00,18.43,-66.0,19.0,31.02
820.6,1829,13.1,5.2,50.0,8.0,-6.128355544951824,-5.142300877492315,TJSJ,78526,1973-02-18 12:00:00,18.43,-66.0,19.0,31.02
791.2,2134,11.0,4.1,30.0,7.0,-3.4999999999999996,-6.062177826491071,TJSJ,78526,1973-02-18 12:00:00,18.43,-66.0,19.0,31.02
763.0,2437,9.0,3.0,20.0,7.0,-2.394141003279681,-6.5778483455013586,TJSJ,78526,1973-02-18 12:00:00,18.43,-66.0,19.0,31.02
762.8,2439,9.0,2.9,20.0,7.0,-2.394141003279681,-6.5778483455013586,TJSJ,78526,1973-02-18 12:00:00,18.43,-66.0,19.0,31.02
735.3,2743,7.4,-9.5,0.0,6.0,-0.0,-6.0,TJSJ,78526,1973-02-18 12:00:00,18.43,-66.0,19.0,31.02
735.0,2746,7.4,-9.6,359.0,6.0,0.10471443862370136,-5.999086170938348,TJSJ,78526,1973-02-18 12:00:00,18.43,-66.0,19.0,31.02
700.0,3148,9.0,-20.0,280.0,7.0,6.893654271085457,-1.2155372436685097,TJSJ,78526,1973-02-18 12:00:00,18.43,-66.0,19.0,31.02
678.0,3413,9.4,-16.6,275.0,10.0,9.961946980917455,-0.8715574274765789,TJSJ,78526,1973-02-18 12:00:00,18.43,-66.0,19.0,31.02
658.0,3658,8.0,-17.2,270.0,12.0,12.0,2.204364238465236e-15,TJSJ,78526,1973-02-18 12:00:00,18.43,-66.0,19.0,31.02
610.9,4268,4.6,-18.8,310.0,17.0,13.022755533022629,-10.927389364671168,TJSJ,78526,1973-02-18 12:00:00,18.43,-66.0,19.0,31.02
600.0,4416,3.8,-19.2,310.0,16.0,12.25671108990365,-10.284601754984628,TJSJ,78526,1973-02-18 12:00:00,18.43,-66.0,19.0,31.02
566.2,4878,0.5,-22.2,310.0,12.0,9.192533317427738,-7.713451316238471,TJSJ,78526,1973-02-18 12:00:00,18.43,-66.0,19.0,31.02
500.0,5870,-6.7,-28.7,295.0,19.0,17.21984795369635,-8.029746973073292,TJSJ,78526,1973-02-18 12:00:00,18.43,-66.0,19.0,31.02
485.3,6097,-8.3,-29.8,290.0,19.0,17.854159794932258,-6.498382723187711,TJSJ,78526,1973-02-18 12:00:00,18.43,-66.0,19.0,31.02
400.0,7571,-18.7,-36.7,280.0,30.0,29.544232590366242,-5.209445330007899,TJSJ,78526,1973-02-18 12:00:00,18.43,-66.0,19.0,31.02
397.2,7621,-19.1,-37.0,280.0,34.0,33.48346360241508,-5.904038040675619,TJSJ,78526,1973-02-18 12:00:00,18.43,-66.0,19.0,31.02
300.0,9640,-35.3,-47.3,290.0,47.0,44.16555317693769,-16.074946736306444,TJSJ,78526,1973-02-18 12:00:00,18.43,-66.0,19.0,31.02
279.0,10140,-40.1,-50.1,296.0,47.0,42.24332017606085,-20.60344389908664,TJSJ,78526,1973-02-18 12:00:00,18.43,-66.0,19.0,31.02
269.0,10387,-42.7,,299.0,48.0,41.98174594269099,-23.27086177182419,TJSJ,78526,1973-02-18 12:00:00,18.43,-66.0,19.0,31.02
262.0,10565,-41.7,,301.0,48.0,41.14403043370139,-24.721827595682598,TJSJ,78526,1973-02-18 12:00:00,18.43,-66.0,19.0,31.02
250.0,10881,-43.9,,305.0,48.0,39.319298125871605,-27.53166894485021,TJSJ,78526,1973-02-18 12:00:00,18.43,-66.0,19.0,31.02
200.0,12351,-55.1,,320.0,59.0,37.92446897150584,-45.19662214401969,TJSJ,78526,1973-02-18 12:00:00,18.43,-66.0,19.0,31.02
150.0,14139,-66.5,,265.0,40.0,39.84778792366982,3.48622970990633,TJSJ,78526,1973-02-18 12:00:00,18.43,-66.0,19.0,31.02
125.0,15220,-73.7,,272.0,34.0,33.97928811864926,-1.1865828878850435,TJSJ,78526,1973-02-18 12:00:00,18.43,-66.0,19.0,31.02
105.0,16237,-73.1,,278.0,29.0,28.717773993505542,-4.036019927841899,TJSJ,78526,1973-02-18 12:00:00,18.43,-66.0,19.0,31.02
100.0,16520,-75.5,,280.0,27.0,26.58980933132962,-4.6885007970071095,TJSJ,78526,1973-02-18 12:00:00,18.43,-66.0,19.0,31.02
89.0,17189,-80.1,,272.0,23.0,22.985989021439202,-0.8026884241575295,TJSJ,78526,1973-02-18 12:00:00,18.43,-66.0,19.0,31.02
83.0,17587,-78.3,,268.0,20.0,19.987816540381914,0.6979899340500152,TJSJ,78526,1973-02-18 12:00:00,18.43,-66.0,19.0,31.02
73.3,18292,-80.0,,260.0,16.0,15.756924048195328,2.7783708426708853,TJSJ,78526,1973-02-18 12:00:00,18.43,-66.0,19.0,31.02
73.0,18319,-80.1,,261.0,16.0,15.803013449522203,2.5029514406436966,TJSJ,78526,1973-02-18 12:00:00,18.43,-66.0,19.0,31.02
70.0,18559,-77.9,,270.0,17.0,17.0,3.1228493378257506e-15,TJSJ,78526,1973-02-18 12:00:00,18.43,-66.0,19.0,31.02
66.0,18902,-70.5,,278.0,15.0,14.854021031123555,-2.087596514400982,TJSJ,78526,1973-02-18 12:00:00,18.43,-66.0,19.0,31.02
58.0,19662,-74.5,,296.0,11.0,9.886734509290838,-4.822082614679852,TJSJ,78526,1973-02-18 12:00:00,18.43,-66.0,19.0,31.02
56.5,19817,-73.3,,300.0,10.0,8.660254037844386,-5.000000000000001,TJSJ,78526,1973-02-18 12:00:00,18.43,-66.0,19.0,31.02
51.0,20423,-68.5,,36.0,12.0,-7.053423027509678,-9.70820393249937,TJSJ,78526,1973-02-18 12:00:00,18.43,-66.0,19.0,31.02
