pressure,height,temperature,dewpoint,direction,speed,u_wind,v_wind,station,station_number,time,latitude,longitude,elevation,pw
179.2,13106,-56.9,,290.0,57.0,53.562479384796774,-19.495148169563134,TJSJ,78526,1973-02-02 12:00:00,18.43,-66.0,19.0,33.34
150.0,14210,-66.5,,310.0,52.0,39.83431104218686,-33.42495570370004,TJSJ,78526,1973-02-02 12:00:00,18.43,-66.0,19.0,33.34
147.1,14325,-67.0,,295.0,75.0,67.97308402774874,-31.69636963055247,TJSJ,78526,1973-02-02 12:00:00,18.43,-66.0,19.0,33.34
136.0,14788,-69.2,,305.0,78.0,63.893859454541364,-44.73896203538159,TJSJ,78526,1973-02-02 12:00:00,18.43,-66.0,19.0,33.34
100.0,16600,-77.9,,310.0,52.0,39.83431104218686,-33.42495570370004,TJSJ,78526,1973-02-02 12:00:00,18.43,-66.0,19.0,33.34
70.0,18660,-74.5,,295.0,26.0,23.5640024629529,-10.98807480525819,TJSJ,78526,1973-02-02 12:00:00,18.43,-66.0,19.0,33.34
67.0,18917,-71.7,,301.0,25.0,21.429182517552807,-12.875951872751354,TJSJ,78526,1973-02-02 12:00:00,18.43,-66.0,19.0,33.34
64.0,19193,-64.3,,307.0,24.0,19.16725224113503,-14.44356055564915,TJSJ,78526,1973-02-02 12:00:00,18.43,-66.0,19.0,33.34
50.0,20700,-66.5,,340.0,17.0,5.814342436536366,-15.974774553360444,TJSJ,78526,1973-02-02 12:00:00,18.43,-66.0,19.0,33.34
30.0,23800,-65.5,,20.0,6.0,-2.0521208599540124,-5.638155724715451,TJSJ,78526,1973-02-02 12:00:00,18.43,-66.0,19.0,33.34
20.0,26340,-53.3,,275.0,20.0,19.92389396183491,-1.7431148549531579,TJSJ,78526,1973-02-02 12:00:00,18.43,-66.0,19.0,33.34
15.0,28208,-50.1,,269.0,26.0,25.996040074066173,0.45376256736937093,TJSJ,78526,1973-02-02 12:00:00,18.43,-66.0,19.0,33.34
10.0,30930,-38.3,,260.0,35.0,34.468271355427284,6.077686218342562,TJSJ,78526,1973-02-02 12:00:00,18.43,-66.0,19.0,33.34
7.2,33203,-35.3,,,,,,TJSJ,78526,1973-02-02 12:00:00,18.43,-66.0,19.0,33.34
