pressure,height,temperature,dewpoint,direction,speed,u_wind,v_wind,station,station_number,time,latitude,longitude,elevation,pw
1017.0,19,23.2,18.7,150.0,5.0,-2.4999999999999996,4.330127018922194,TJSJ,78526,1973-01-24 12:00:00,18.43,-66.0,19.0,26.19
1000.0,152,24.0,19.0,135.0,10.0,-7.0710678118654755,7.071067811865475,TJSJ,78526,1973-01-24 12:00:00,18.43,-66.0,19.0,26.19
982.6,304,22.7,18.4,120.0,14.0,-12.124355652982143,6.9999999999999964,TJSJ,78526,1973-01-24 12:00:00,18.43,-66.0,19.0,26.19
948.6,609,20.0,17.1,95.0,20.0,-19.92389396183491,1.7431148549531648,TJSJ,78526,1973-01-24 12:00:00,18.43,-66.0,19.0,26.19
929.0,790,18.4,16.4,95.0,20.0,-19.92389396183491,1.7431148549531648,TJSJ,78526,1973-01-24 12:00:00,18.43,-66.0,19.0,26.19
915.6,914,17.5,15.1,95.0,20.0,-19.92389396183491,1.7431148549531648,TJSJ,78526,1973-01-24 12:00:00,18.43,-66.0,19.0,26.19
883.4,1219,15.3,11.9,105.0,20.0,-19.318516525781366,5.176380902050417,TJSJ,78526,1973-01-24 12:00:00,18.43,-66.0,19.0,26.19
868.0,1368,14.2,10.4,100.0,21.0,-20.680962813256368,3.646611731005536,TJSJ,78526,1973-01-24 12:00:00,18.43,-66.0,19.0,26.19
850.0,1545,14.8,-10.2,95.0,22.0,-21.9162833580184,1.9174263404484813,TJSJ,78526,1973-01-24 12:00:00,18.43,-66.0,19.0,26.19
822.0,1829,16.6,-13.4,90.0,22.0,-22.0,-1.3471114790620886e-15,TJSJ,78526,1973-01-24 12:00:00,18.43,-66.0,19.0,26.19
792.9,2133,14.2,-6.4,100.0,18.0,-17.726539554219745,3.1256671980047455,TJSJ,78526,1973-01-24 12:00:00,18.43,-66.0,19.0,26.19
776.0,2315,12.8,-2.2,103.0,17.0,-16.564291101349,3.8241679238457054,TJSJ,78526,1973-01-24 12:00:00,18.43,-66.0,19.0,26.19
764.7,2438,12.1,-5.7,105.0,16.0,-15.454813220625093,4.141104721640334,TJSJ,78526,1973-01-24 12:00:00,18.43,-66.0,19.0,26.19
737.3,2743,10.3,-14.3,115.0,14.0,-12.6883090185131,5.916655664369791,TJSJ,78526,1973-01-24 12:00:00,18.43,-66.0,19.0,26.19
732.0,2803,10.0,-16.0,114.0,14.0,-12.789636406996411,5.694313003061204,TJSJ,78526,1973-01-24 12:00:00,18.43,-66.0,19.0,26.19
700.0,3174,10.0,-19.0,105.0,14.0,-13.522961568046956,3.623466631435292,TJSJ,78526,1973-01-24 12:00:00,18.43,-66.0,19.0,26.19
659.8,3657,7.5,-20.9,90.0,14.0,-14.0,-8.572527594031472e-16,TJSJ,78526,1973-01-24 12:00:00,18.43,-66.0,19.0,26.19
612.3,4267,4.4,-23.2,105.0,12.0,-11.59110991546882,3.10582854123025,TJSJ,78526,1973-01-24 12:00:00,18.43,-66.0,19.0,26.19
576.0,4767,1.8,-25.2,85.0,14.0,-13.946725773284438,-1.220180398467214,TJSJ,78526,1973-01-24 12:00:00,18.43,-66.0,19.0,26.19
568.1,4876,1.1,-25.7,80.0,15.0,-14.772116295183121,-2.604722665003956,TJSJ,78526,1973-01-24 12:00:00,18.43,-66.0,19.0,26.19
