pressure,height,temperature,dewpoint,direction,speed,u_wind,v_wind,station,station_number,time,latitude,longitude,elevation,pw
1015.0,19,22.8,19.6,200.0,5.0,1.7101007166283433,4.698463103929543,TJSJ,78526,1973-02-13 12:00:00,18.43,-66.0,19.0,42.21
1000.0,136,22.4,19.7,185.0,5.0,0.4357787137382897,4.9809734904587275,TJSJ,78526,1973-02-13 12:00:00,18.43,-66.0,19.0,42.21
980.8,304,21.3,18.2,180.0,4.0,-4.898587196589413e-16,4.0,TJSJ,78526,1973-02-13 12:00:00,18.43,-66.0,19.0,42.21
946.9,609,19.3,15.6,140.0,6.0,-3.856725658119237,4.596266658713867,TJSJ,78526,1973-02-13 12:00:00,18.43,-66.0,19.0,42.21
931.0,755,18.4,14.3,133.0,8.0,-5.850829612953365,5.455986880499987,TJSJ,78526,1973-02-13 12:00:00,18.43,-66.0,19.0,42.21
913.8,914,17.4,14.1,125.0,11.0,-9.010672487178908,6.309340799861507,TJSJ,78526,1973-02-13 12:00:00,18.43,-66.0,19.0,42.21
881.7,1219,15.5,13.6,120.0,14.0,-12.124355652982143,6.9999999999999964,TJSJ,78526,1973-02-13 12:00:00,18.43,-66.0,19.0,42.21
850.0,1531,13.6,13.2,95.0,12.0,-11.954336377100947,1.0458689129718988,TJSJ,78526,1973-02-13 12:00:00,18.43,-66.0,19.0,42.21
820.2,1828,12.1,11.7,95.0,12.0,-11.954336377100947,1.0458689129718988,TJSJ,78526,1973-02-13 12:00:00,18.43,-66.0,19.0,42.21
790.6,2133,10.5,10.1,90.0,11.0,-11.0,-6.735557395310443e-16,TJSJ,78526,1973-02-13 12:00:00,18.43,-66.0,19.0,42.21
762.1,2438,9.0,8.6,80.0,13.0,-12.802500789158705,-2.2574263096700955,TJSJ,78526,1973-02-13 12:00:00,18.43,-66.0,19.0,42.21
734.7,2743,7.4,7.0,85.0,12.0,-11.954336377100947,-1.0458689129718977,TJSJ,78526,1973-02-13 12:00:00,18.43,-66.0,19.0,42.21
700.0,3145,5.4,5.0,70.0,9.0,-8.457233587073175,-3.0781812899310195,TJSJ,78526,1973-02-13 12:00:00,18.43,-66.0,19.0,42.21
657.2,3657,2.3,2.0,50.0,11.0,-8.426488874308758,-7.070663706551933,TJSJ,78526,1973-02-13 12:00:00,18.43,-66.0,19.0,42.21
633.0,3961,0.4,0.3,102.0,10.0,-9.781476007338057,2.0791169081775935,TJSJ,78526,1973-02-13 12:00:00,18.43,-66.0,19.0,42.21
613.0,4217,-2.5,-13.5,146.0,8.0,-4.473543227765975,6.632300580440333,TJSJ,78526,1973-02-13 12:00:00,18.43,-66.0,19.0,42.21
609.2,4267,-1.9,-16.6,155.0,8.0,-3.380946093925596,7.2504622962931995,TJSJ,78526,1973-02-13 12:00:00,18.43,-66.0,19.0,42.21
596.0,4441,0.4,-27.6,181.0,11.0,0.19197647081012,10.998324646720304,TJSJ,78526,1973-02-13 12:00:00,18.43,-66.0,19.0,42.21
564.1,4876,-1.8,-29.4,245.0,20.0,18.126155740733,8.452365234813984,TJSJ,78526,1973-02-13 12:00:00,18.43,-66.0,19.0,42.21
