pressure,height,temperature,dewpoint,direction,speed,u_wind,v_wind,station,station_number,time,latitude,longitude,elevation,pw
1018.0,19,23.2,18.4,110.0,5.0,-4.698463103929543,1.7101007166283435,TJSJ,78526,1973-01-16 12:00:00,18.43,-66.0,19.0,30.2
1000.0,160,23.2,20.2,100.0,9.0,-8.863269777109872,1.5628335990023727,TJSJ,78526,1973-01-16 12:00:00,18.43,-66.0,19.0,30.2
958.0,534,20.2,18.9,100.0,12.0,-11.817693036146496,2.0837781320031636,TJSJ,78526,1973-01-16 12:00:00,18.43,-66.0,19.0,30.2
872.0,1343,16.8,8.8,100.0,18.0,-17.726539554219745,3.1256671980047455,TJSJ,78526,1973-01-16 12:00:00,18.43,-66.0,19.0,30.2
850.0,1560,14.4,10.2,100.0,20.0,-19.69615506024416,3.472963553338606,TJSJ,78526,1973-01-16 12:00:00,18.43,-66.0,19.0,30.2
816.0,1904,11.8,9.0,102.0,22.0,-21.519247216143725,4.574057197990705,TJSJ,78526,1973-01-16 12:00:00,18.43,-66.0,19.0,30.2
794.0,2133,11.0,-2.0,104.0,24.0,-23.287097430623916,5.806125494392027,TJSJ,78526,1973-01-16 12:00:00,18.43,-66.0,19.0,30.2
741.0,2705,7.4,-16.6,107.0,28.0,-26.776533166964995,8.186407732236626,TJSJ,78526,1973-01-16 12:00:00,18.43,-66.0,19.0,30.2
700.0,3172,6.4,-19.6,110.0,31.0,-29.13047124436316,10.60262444309573,TJSJ,78526,1973-01-16 12:00:00,18.43,-66.0,19.0,30.2
606.0,4347,4.0,-23.0,129.0,26.0,-20.205794997881245,16.36233016729577,TJSJ,78526,1973-01-16 12:00:00,18.43,-66.0,19.0,30.2
540.0,5274,-1.5,-28.5,145.0,23.0,-13.192258036074056,18.840497018646815,TJSJ,78526,1973-01-16 12:00:00,18.43,-66.0,19.0,30.2
500.0,5880,-6.5,-30.5,155.0,20.0,-8.452365234813989,18.126155740732997,TJSJ,78526,1973-01-16 12:00:00,18.43,-66.0,19.0,30.2
462.0,6492,-12.7,-34.7,148.0,16.0,-8.478708227731278,13.568769538502815,TJSJ,78526,1973-01-16 12:00:00,18.43,-66.0,19.0,30.2
413.0,7348,-14.7,-36.7,138.0,10.0,-6.691306063588583,7.43144825477394,TJSJ,78526,1973-01-16 12:00:00,18.43,-66.0,19.0,30.2
400.0,7590,-15.9,-37.9,135.0,8.0,-5.656854249492381,5.65685424949238,TJSJ,78526,1973-01-16 12:00:00,18.43,-66.0,19.0,30.2
300.0,9680,-34.7,-49.7,285.0,19.0,18.3525906994923,-4.917561856947886,TJSJ,78526,1973-01-16 12:00:00,18.43,-66.0,19.0,30.2
271.0,10378,-40.1,-54.1,282.0,26.0,25.431837619078944,-5.405703961261745,TJSJ,78526,1973-01-16 12:00:00,18.43,-66.0,19.0,30.2
250.0,10920,-44.5,,280.0,31.0,30.52904034337845,-5.383093507674829,TJSJ,78526,1973-01-16 12:00:00,18.43,-66.0,19.0,30.2
200.0,12375,-56.3,,280.0,34.0,33.48346360241508,-5.904038040675619,TJSJ,78526,1973-01-16 12:00:00,18.43,-66.0,19.0,30.2
159.0,13804,-64.7,,280.0,36.0,35.453079108439496,-6.251334396009479,TJSJ,78526,1973-01-16 12:00:00,18.43,-66.0,19.0,30.2
150.0,14160,-63.7,,280.0,37.0,36.4378868614517,-6.424982573676409,TJSJ,78526,1973-01-16 12:00:00,18.43,-66.0,19.0,30.2
127.0,15163,-70.9,,,,,,TJSJ,78526,1973-01-16 12:00:00,18.43,-66.0,19.0,30.2
100.0,16550,-78.7,,,,,,TJSJ,78526,1973-01-16 12:00:00,18.43,-66.0,19.0,30.2
73.8,18288,-76.0,,360.0,5.0,1.2246467991473533e-15,-5.0,TJSJ,78526,1973-01-16 12:00:00,18.43,-66.0,19.0,30.2
70.0,18590,-75.5,,20.0,8.0,-2.7361611466053497,-7.517540966287267,TJSJ,78526,1973-01-16 12:00:00,18.43,-66.0,19.0,30.2
50.0,20580,-66.7,,75.0,27.0,-26.079997309804845,-6.98811421776806,TJSJ,78526,1973-01-16 12:00:00,18.43,-66.0,19.0,30.2
44.2,21336,-64.7,,75.0,27.0,-26.079997309804845,-6.98811421776806,TJSJ,78526,1973-01-16 12:00:00,18.43,-66.0,19.0,30.2
30.0,23740,-58.5,,80.0,6.0,-5.908846518073248,-1.0418890660015825,TJSJ,78526,1973-01-16 12:00:00,18.43,-66.0,19.0,30.2
20.0,26340,-50.7,,280.0,12.0,11.817693036146498,-2.0837781320031596,TJSJ,78526,1973-01-16 12:00:00,18.43,-66.0,19.0,30.2
