pressure,height,temperature,dewpoint,direction,speed,u_wind,v_wind,station,station_number,time,latitude,longitude,elevation,pw
1016.0,19,20.0,16.2,220.0,8.0,5.142300877492314,6.128355544951824,TJSJ,78526,1973-02-09 12:00:00,18.43,-66.0,19.0,25.54
1000.0,147,21.0,16.6,125.0,7.0,-5.734064310022942,4.015035054457323,TJSJ,78526,1973-02-09 12:00:00,18.43,-66.0,19.0,25.54
981.7,304,19.8,15.7,70.0,6.0,-5.63815572471545,-2.052120859954013,TJSJ,78526,1973-02-09 12:00:00,18.43,-66.0,19.0,25.54
947.2,609,17.6,13.8,45.0,7.0,-4.949747468305832,-4.949747468305833,TJSJ,78526,1973-02-09 12:00:00,18.43,-66.0,19.0,25.54
913.8,914,15.3,11.9,35.0,10.0,-5.7357643635104605,-8.191520442889917,TJSJ,78526,1973-02-09 12:00:00,18.43,-66.0,19.0,25.54
881.6,1219,13.1,10.1,25.0,10.0,-4.2261826174069945,-9.063077870366499,TJSJ,78526,1973-02-09 12:00:00,18.43,-66.0,19.0,25.54
850.0,1530,10.8,8.2,35.0,10.0,-5.7357643635104605,-8.191520442889917,TJSJ,78526,1973-02-09 12:00:00,18.43,-66.0,19.0,25.54
819.9,1828,8.1,6.5,50.0,10.0,-7.66044443118978,-6.427876096865393,TJSJ,78526,1973-02-09 12:00:00,18.43,-66.0,19.0,25.54
793.0,2104,5.6,5.0,23.0,5.0,-1.953655642446369,-4.6025242672622015,TJSJ,78526,1973-02-09 12:00:00,18.43,-66.0,19.0,25.54
790.2,2133,6.8,-0.2,20.0,4.0,-1.3680805733026749,-3.7587704831436337,TJSJ,78526,1973-02-09 12:00:00,18.43,-66.0,19.0,25.54
781.0,2230,10.6,-17.4,9.0,4.0,-0.6257378601609235,-3.950753362380551,TJSJ,78526,1973-02-09 12:00:00,18.43,-66.0,19.0,25.54
761.5,2438,9.8,-17.9,345.0,3.0,0.776457135307562,-2.897777478867205,TJSJ,78526,1973-02-09 12:00:00,18.43,-66.0,19.0,25.54
733.9,2743,8.7,-18.8,315.0,6.0,4.242640687119286,-4.242640687119284,TJSJ,78526,1973-02-09 12:00:00,18.43,-66.0,19.0,25.54
700.0,3134,7.2,-19.8,325.0,7.0,4.015035054457325,-5.734064310022941,TJSJ,78526,1973-02-09 12:00:00,18.43,-66.0,19.0,25.54
656.4,3657,4.7,-21.6,335.0,2.0,0.8452365234813984,-1.8126155740733,TJSJ,78526,1973-02-09 12:00:00,18.43,-66.0,19.0,25.54
609.0,4267,1.8,-23.6,305.0,9.0,7.372368398600926,-5.162187927159414,TJSJ,78526,1973-02-09 12:00:00,18.43,-66.0,19.0,25.54
587.0,4566,0.4,-24.6,312.0,14.0,10.404027556683523,-9.36782848902401,TJSJ,78526,1973-02-09 12:00:00,18.43,-66.0,19.0,25.54
