pressure,height,temperature,dewpoint,direction,speed,u_wind,v_wind,station,station_number,time,latitude,longitude,elevation,pw
1016.0,19,22.8,17.9,190,6,1.0418890660015827,5.908846518073248,TJSJ,78526,1973-02-04 12:00:00,18.43,-66.0,19.0,26.94
1000.0,151,22.6,19.2,135,12,-8.485281374238571,8.48528137423857,TJSJ,78526,1973-02-04 12:00:00,18.43,-66.0,19.0,26.94
982.5,304,21.5,18.4,105,15,-14.488887394336025,3.882285676537813,TJSJ,78526,1973-02-04 12:00:00,18.43,-66.0,19.0,26.94
950.0,596,19.4,17.0,110,16,-15.035081932574535,5.472322293210699,TJSJ,78526,1973-02-04 12:00:00,18.43,-66.0,19.0,26.94
948.6,609,19.3,16.8,110,16,-15.035081932574535,5.472322293210699,TJSJ,78526,1973-02-04 12:00:00,18.43,-66.0,19.0,26.94
915.5,914,17.6,12.1,110,18,-16.914467174146353,6.156362579862037,TJSJ,78526,1973-02-04 12:00:00,18.43,-66.0,19.0,26.94
911.0,957,17.4,11.4,109,18,-17.019334360787703,5.860226780228819,TJSJ,78526,1973-02-04 12:00:00,18.43,-66.0,19.0,26.94
892.0,1137,15.8,11.7,106,16,-15.380187135013102,4.410197693071985,TJSJ,78526,1973-02-04 12:00:00,18.43,-66.0,19.0,26.94
883.4,1219,15.3,10.4,105,15,-14.488887394336025,3.882285676537813,TJSJ,78526,1973-02-04 12:00:00,18.43,-66.0,19.0,26.94
850.0,1545,13.4,5.4,95,15,-14.942920471376183,1.3073361412148736,TJSJ,78526,1973-02-04 12:00:00,18.43,-66.0,19.0,26.94
832.0,1725,12.4,6.4,92,14,-13.99147157826734,0.4885929538350134,TJSJ,78526,1973-02-04 12:00:00,18.43,-66.0,19.0,26.94
821.8,1828,11.7,4.3,90,13,-13.0,-7.960204194457795e-16,TJSJ,78526,1973-02-04 12:00:00,18.43,-66.0,19.0,26.94
796.0,2094,9.8,-1.2,73,10,-9.563047559630354,-2.9237170472273677,TJSJ,78526,1973-02-04 12:00:00,18.43,-66.0,19.0,26.94
792.2,2133,9.8,-2.5,70,10,-9.396926207859083,-3.4202014332566884,TJSJ,78526,1973-02-04 12:00:00,18.43,-66.0,19.0,26.94
763.6,2438,9.9,-12.5,65,7,-6.3441545092565494,-2.9583278321848963,TJSJ,78526,1973-02-04 12:00:00,18.43,-66.0,19.0,26.94
751.0,2576,10.0,-17.0,60,6,-5.196152422706632,-3.000000000000001,TJSJ,78526,1973-02-04 12:00:00,18.43,-66.0,19.0,26.94
736.0,2743,9.1,-18.5,55,5,-4.095760221444959,-2.8678821817552307,TJSJ,78526,1973-02-04 12:00:00,18.43,-66.0,19.0,26.94
700.0,3156,6.8,-22.2,85,6,-5.977168188550474,-0.5229344564859488,TJSJ,78526,1973-02-04 12:00:00,18.43,-66.0,19.0,26.94
658.3,3657,4.8,-22.2,120,14,-12.124355652982143,6.9999999999999964,TJSJ,78526,1973-02-04 12:00:00,18.43,-66.0,19.0,26.94
639.0,3900,3.8,-22.2,114,23,-21.01154552577982,9.354942790743406,TJSJ,78526,1973-02-04 12:00:00,18.43,-66.0,19.0,26.94
610.8,4267,5.3,-23.5,105,37,-35.73925557269553,9.576304668793272,TJSJ,78526,1973-02-04 12:00:00,18.43,-66.0,19.0,26.94
599.0,4426,6.0,-24.0,100,31,-30.529040343378448,5.38309350767484,TJSJ,78526,1973-02-04 12:00:00,18.43,-66.0,19.0,26.94
566.2,4876,2.0,-26.7,85,13,-12.950531075192693,-1.1330246557195558,TJSJ,78526,1973-02-04 12:00:00,18.43,-66.0,19.0,26.94
500.0,5870,-6.7,-32.7,320,6,3.8567256581192373,-4.5962666587138665,TJSJ,78526,1973-02-04 12:00:00,18.43,-66.0,19.0,26.94
485.6,6096,-8.0,-30.2,340,6,2.0521208599540115,-5.638155724715451,TJSJ,78526,1973-02-04 12:00:00,18.43,-66.0,19.0,26.94
463.0,6466,-10.1,-26.1,346,8,1.935375164797343,-7.762365810207972,TJSJ,78526,1973-02-04 12:00:00,18.43,-66.0,19.0,26.94
400.0,7570,-20.3,-34.3,5,16,-1.3944918839625307,-15.939115169467929,TJSJ,78526,1973-02-04 12:00:00,18.43,-66.0,19.0,26.94
397.3,7620,-20.6,-34.8,5,16,-1.3944918839625307,-15.939115169467929,TJSJ,78526,1973-02-04 12:00:00,18.43,-66.0,19.0,26.94
358.0,8384,-24.7,-42.7,350,20,3.472963553338608,-19.69615506024416,TJSJ,78526,1973-02-04 12:00:00,18.43,-66.0,19.0,26.94
321.7,9144,-31.4,-47.5,335,25,10.565456543517481,-22.65769467591625,TJSJ,78526,1973-02-04 12:00:00,18.43,-66.0,19.0,26.94
300.0,9640,-35.7,-50.7,330,25,12.50000000000001,-21.65063509461096,TJSJ,78526,1973-02-04 12:00:00,18.43,-66.0,19.0,26.94
280.0,10118,-40.1,-51.1,323,29,17.4526356714094,-23.16042979137149,TJSJ,78526,1973-02-04 12:00:00,18.43,-66.0,19.0,26.94
261.0,10598,-43.1,,316,32,22.229067854687923,-23.018873610836827,TJSJ,78526,1973-02-04 12:00:00,18.43,-66.0,19.0,26.94
258.3,10668,-43.0,,315,33,23.334523779156072,-23.33452377915606,TJSJ,78526,1973-02-04 12:00:00,18.43,-66.0,19.0,26.94
250.0,10890,-42.9,,310,35,26.811555509164233,-22.497566339028875,TJSJ,78526,1973-02-04 12:00:00,18.43,-66.0,19.0,26.94
222.0,11681,-47.3,,310,44,33.70595549723504,-28.282654826207725,TJSJ,78526,1973-02-04 12:00:00,18.43,-66.0,19.0,26.94
205.2,12192,-51.5,,310,50,38.302222155948904,-32.13938048432696,TJSJ,78526,1973-02-04 12:00:00,18.43,-66.0,19.0,26.94
