pressure,height,temperature,dewpoint,direction,speed,u_wind,v_wind,station,station_number,time,latitude,longitude,elevation,pw
1004.0,105.0,20.2,15.2,215,6,3.441458618106277,4.914912265733951,,60018,2019-08-02,28.47,-16.38,105.0,13.85
1001.0,143.0,21.4,16.4,196,4,1.102549423267996,3.8450467837532756,,60018,2019-08-02,28.47,-16.38,105.0,13.85
1000.0,156.0,21.4,16.4,190,4,0.6945927106677219,3.939231012048832,,60018,2019-08-02,28.47,-16.38,105.0,13.85
938.0,710.0,18.2,13.2,49,9,-6.792386222004948,-5.904531260914565,,60018,2019-08-02,28.47,-16.38,105.0,13.85
934.0,747.0,18.4,11.6,40,10,-6.4278760968653925,-7.66044443118978,,60018,2019-08-02,28.47,-16.38,105.0,13.85
925.0,830.0,19.0,8.0,35,16,-9.177222981616737,-13.106432708623869,,60018,2019-08-02,28.47,-16.38,105.0,13.85
908.0,989.0,21.4,-0.6,27,15,-6.809857496093201,-13.365097862825518,,60018,2019-08-02,28.47,-16.38,105.0,13.85
883.0,1230.0,21.0,-7.0,16,14,-3.8589229814379884,-13.457663743136465,,60018,2019-08-02,28.47,-16.38,105.0,13.85
850.0,1557.0,19.8,-12.2,0,14,-0.0,-14.0,,60018,2019-08-02,28.47,-16.38,105.0,13.85
843.0,1628.0,19.6,-12.8,350,12,2.0837781320031645,-11.817693036146496,,60018,2019-08-02,28.47,-16.38,105.0,13.85
815.0,1917.0,18.9,-15.2,25,10,-4.2261826174069945,-9.063077870366499,,60018,2019-08-02,28.47,-16.38,105.0,13.85
783.0,2260.0,18.0,-18.0,20,10,-3.420201433256687,-9.396926207859085,,60018,2019-08-02,28.47,-16.38,105.0,13.85
700.0,3206.0,12.4,-27.6,290,6,5.63815572471545,-2.052120859954014,,60018,2019-08-02,28.47,-16.38,105.0,13.85
662.0,3670.0,10.2,-31.8,277,8,7.940369213130576,-0.9749547472411815,,60018,2019-08-02,28.47,-16.38,105.0,13.85
655.0,3758.0,10.4,-32.6,274,8,7.9805124020785945,-0.5580517899530018,,60018,2019-08-02,28.47,-16.38,105.0,13.85
617.0,4243.0,6.4,-33.6,260,10,9.84807753012208,1.7364817766693033,,60018,2019-08-02,28.47,-16.38,105.0,13.85
597.0,4511.0,4.2,-34.2,265,14,13.946725773284438,1.2201803984672155,,60018,2019-08-02,28.47,-16.38,105.0,13.85
549.0,5191.0,-1.4,-35.6,240,17,14.722431864335451,8.500000000000007,,60018,2019-08-02,28.47,-16.38,105.0,13.85
547.0,5221.0,-1.7,-35.7,244,17,15.279498787085835,7.452309495414322,,60018,2019-08-02,28.47,-16.38,105.0,13.85
535.0,5396.0,-2.4,-38.5,270,14,14.0,2.5717582782094417e-15,,60018,2019-08-02,28.47,-16.38,105.0,13.85
509.0,5790.0,-3.9,-44.9,255,18,17.38666487320323,4.6587428118453715,,60018,2019-08-02,28.47,-16.38,105.0,13.85
500.0,5930.0,-5.1,-45.1,250,19,17.85415979493226,6.498382723187702,,60018,2019-08-02,28.47,-16.38,105.0,13.85
479.0,6263.0,-8.2,-43.9,245,21,19.03246352776965,8.874983496554682,,60018,2019-08-02,28.47,-16.38,105.0,13.85
457.0,6629.0,-11.5,-42.5,253,18,17.213485607334636,5.262690685009268,,60018,2019-08-02,28.47,-16.38,105.0,13.85
414.0,7381.0,-15.9,-54.9,270,12,12.0,2.204364238465236e-15,,60018,2019-08-02,28.47,-16.38,105.0,13.85
402.0,7602.0,-17.1,-55.2,275,10,9.961946980917455,-0.8715574274765789,,60018,2019-08-02,28.47,-16.38,105.0,13.85
400.0,7640.0,-17.3,-55.3,275,10,9.961946980917455,-0.8715574274765789,,60018,2019-08-02,28.47,-16.38,105.0,13.85
