datetime;pmptp
2015/06/29 00:00:00;55.9
2015/07/01 11:52:45;45.125
2015/07/02 11:52:45;53.304347826087
2015/07/03 11:52:44;68.0729166666667
2015/07/04 11:52:44;77.6875
2015/07/05 11:52:43;44.7604166666667
2015/07/06 11:52:43;51.90625
2015/07/07 11:52:42;43.6354166666667
2015/07/08 11:52:42;38.3854166666667
2015/07/09 11:52:41;23.25
2015/07/10 11:52:41;23.25
2015/07/11 11:52:40;46.21875
2015/07/12 11:52:40;49.96875
2015/07/13 11:52:39;28.2282608695652
2015/07/14 11:52:39;46.9880952380952
2015/07/15 11:52:38;50.0104166666667
2015/07/16 11:52:38;53.1041666666667
2015/07/17 11:52:37;74.46875
2015/07/18 11:52:37;74.59375
2015/07/19 11:52:36;41.1666666666667
2015/07/20 11:52:36;53.8525641025641
2015/07/21 11:52:35;54.5978260869565
2015/07/22 11:52:35;51.4734848484849
2015/07/23 11:52:34;64.65625
2015/07/24 11:52:34;39.2065217391304
2015/07/25 11:52:34;61.1449275362319
2015/07/26 11:52:33;54.8229166666667
2015/07/27 11:52:33;46.4318181818182
2015/07/28 11:52:32;54.5451388888889
2015/07/29 11:52:32;63.8958333333333
2015/07/30 11:52:31;67.90625
2015/07/31 11:52:31;57.2291666666667
2015/08/01 11:52:30;42.9027777777778
2015/08/02 11:52:30;46.3531746031746
2015/08/03 11:52:30;43.6271929824561
2015/08/04 11:52:30;21.5978260869565
2015/08/05 11:52:30;17.2604166666667
2015/08/06 11:52:30;15.4583333333333
2015/08/07 11:52:30;18.5384615384615
2015/08/10 11:52:30;11.95
2015/08/11 11:52:30;19.8888888888889
2015/08/12 11:52:30;18.2777777777778
2015/08/13 11:52:30;24.1770833333333
2015/08/14 11:52:30;22.84375
2015/08/15 11:52:30;38.6979166666667
2015/08/16 11:52:30;24.5104166666667
2015/08/17 11:52:30;16.9166666666667
2015/08/18 11:52:30;16.9270833333333
2015/08/19 11:52:30;35.1875
2015/08/20 11:52:30;65.6770833333333
