2012-01-01 582
2012-01-02 381
2012-01-03 518
2012-01-04 655
2012-01-05 560
2012-01-06 641
2012-01-07 568
2012-01-08 535
2012-01-09 470
2012-01-10 834
2012-01-11 488
2012-01-12 712
2012-01-14 851
2012-01-15 703
2012-01-16 549
2012-01-17 449
2012-01-18 464
2012-01-19 430
2012-01-20 712
2012-01-21 693
2012-01-22 797
2012-01-23 883
2012-01-24 445
2012-01-25 548
2012-01-26 526
2012-01-27 539
2012-01-28 862
2012-01-29 678
2012-01-30 590
2012-01-31 535
2012-02-01 395
2012-02-02 397
2012-02-03 600
2012-02-04 502
2012-02-05 664
2012-02-06 693
2012-02-07 21
2012-02-08 702
2012-02-09 645
2012-02-10 631
2012-02-11 738
2012-02-12 682
2012-02-13 762
2012-02-14 766
2012-02-15 624
2012-02-16 826
2012-02-17 813
2012-02-18 600
2012-02-19 944
2012-02-20 968
2012-02-21 998
2012-02-22 621
2012-02-23 851
2012-02-24 574
2012-02-25 627
2012-02-26 678
2012-02-27 569
2012-02-28 654
2012-03-01 565
2012-03-02 678
2012-03-03 489
2012-03-04 627
2012-03-05 633
2012-03-06 646
2012-03-07 529
2012-03-08 539
2012-03-09 645
2012-03-10 611
2012-03-11 674
2012-03-12 588
2012-03-13 717
2012-03-14 570
2012-03-15 593
2012-03-16 751
2012-03-17 626
2012-03-18 629
2012-03-19 558
2012-03-20 594
2012-03-21 625
2012-03-22 316
2012-03-23 673
2012-03-24 687
2012-03-25 589
2012-03-26 578
2012-03-27 737
2012-03-28 515
2012-03-29 479
2012-03-30 744
2012-03-31 714
2012-04-01 736
2012-04-02 774
2012-04-03 746
2012-04-04 579
2012-04-05 513
2012-04-06 636
2012-04-07 569
2012-04-08 571
2012-04-09 464
2012-04-10 479
2012-04-11 722
2012-04-12 375
2012-04-13 715
2012-04-14 710
2012-04-15 675
2012-04-16 557
2012-04-17 654
2012-04-18 609
2012-04-19 557
2012-04-20 599
2012-04-21 650
2012-04-23 593
2012-04-24 605
2012-04-25 694
2012-04-26 630
2012-04-27 729
2012-04-28 719
2012-04-29 554
2012-04-30 591
2012-05-01 502
2012-05-02 732
2012-05-04 577
2012-05-05 465
2012-05-06 529
2012-05-07 403
2012-05-08 798
2012-05-09 734
2012-05-10 478
2012-05-11 429
2012-05-12 716
2012-05-14 725
2012-05-15 768
2012-05-16 612
2012-05-17 511
2012-05-18 651
2012-05-19 568
2012-05-20 565
2012-05-21 566
2012-05-22 604
2012-05-23 748
2012-05-24 641
2012-05-25 851
2012-05-26 839
2012-05-27 575
2012-05-28 701
2012-05-29 672
2012-05-30 711
2012-05-31 629
2012-06-01 777
2012-06-02 908
2012-06-03 689
2012-06-04 831
2012-06-05 704
2012-06-06 722
2012-06-07 767
2012-06-08 853
2012-06-09 698
2012-06-10 692
2012-06-11 514
2012-06-12 925
2012-06-13 795
2012-06-14 269
2012-06-15 611
2012-06-16 697
2012-06-17 732
2012-06-18 578
2012-06-19 927
2012-06-20 787
2012-06-21 1016
2012-06-22 664
2012-06-23 654
2012-06-24 737
2012-06-25 565
2012-06-26 670
2012-06-27 702
2012-06-28 501
2012-06-29 599
2012-06-30 685
2012-07-01 702
2012-07-02 681
2012-07-03 684
2012-07-04 531
2012-07-05 781
2012-07-06 556
2012-07-07 618
2012-07-08 569
2012-07-10 600
2012-07-11 696
2012-07-12 473
2012-07-13 652
2012-07-14 584
2012-07-15 567
2012-07-16 698
2012-07-17 521
2012-07-18 618
2012-07-19 564
2012-07-20 774
2012-07-21 494
2012-07-22 840
2012-07-24 747
2012-07-25 1094
2012-07-26 679
2012-07-27 539
2012-07-28 796
2012-07-29 722
2012-07-30 509
2012-07-31 486
2012-08-01 515
2012-08-02 701
2012-08-03 486
2012-08-04 747
2012-08-05 960
2012-08-06 1053
2012-08-07 576
2012-08-08 617
2012-08-09 655
2012-08-10 781
2012-08-11 725
2012-08-12 280
2012-08-13 584
2012-08-14 490
2012-08-15 650
2012-08-16 784
2012-08-17 363
2012-08-18 486
2012-08-19 857
2012-08-20 586
2012-08-21 493
2012-08-22 654
2012-08-23 591
2012-08-24 522
2012-08-25 537
2012-08-27 525
2012-08-28 700
2012-08-29 595
2012-08-30 610
2012-08-31 726
2012-09-01 673
2012-09-02 706
2012-09-04 518
2012-09-05 381
2012-09-06 516
2012-09-07 687
2012-09-08 595
2012-09-09 742
2012-09-10 624
2012-09-11 648
2012-09-12 650
2012-09-13 749
2012-09-15 804
2012-09-16 733
2012-09-17 561
2012-09-18 683
2012-09-19 534
2012-09-20 445
2012-09-21 396
2012-09-22 555
2012-09-24 601
2012-09-25 442
2012-09-26 595
2012-09-27 480
2012-09-28 461
2012-09-29 492
2012-09-30 558
2012-10-01 515
2012-10-02 476
2012-10-03 550
2012-10-04 605
2012-10-05 444
2012-10-06 548
2012-10-07 514
2012-10-08 651
2012-10-09 635
2012-10-10 727
2012-10-11 403
2012-10-12 552
2012-10-13 570
2012-10-16 474
2012-10-17 621
2012-10-18 702
2012-10-19 703
2012-10-20 500
2012-10-21 730
2012-10-22 516
2012-10-23 574
2012-10-24 628
2012-10-25 620
2012-10-26 687
2012-10-27 454
2012-10-28 597
2012-10-29 432
2012-10-30 545
2012-10-31 526
2012-11-01 838
2012-11-02 884
2012-11-03 714
2012-11-04 486
2012-11-05 762
2012-11-06 847
2012-11-07 840
2012-11-08 812
2012-11-09 773
2012-11-10 587
2012-11-11 666
2012-11-12 704
2012-11-13 551
2012-11-14 556
2012-11-15 857
2012-11-16 588
2012-11-17 730
2012-11-18 749
