date,aot1020
2006-10-18,0.1632971765
2006-10-19,0.0576460000
2006-10-20,0.0698326176
2006-10-21,0.0695030000
2006-10-22,0.0572835667
2006-10-23,0.0585296667
2006-10-24,0.0578558636
2006-10-25,0.0543222308
2006-10-26,0.0266284286
2006-10-27,0.1098657333
2006-10-28,0.1232185000
2006-10-29,0.1474029167
2006-10-30,0.1063995714
2006-11-02,0.0412830244
2006-11-03,0.0334911143
2006-11-04,0.0278921667
2006-11-05,0.0696647500
2006-11-06,0.0956878056
2006-11-07,0.0623025000
2006-11-08,0.0570461190
2006-11-09,0.0395846222
2006-11-10,0.0171283529
2006-11-11,0.0368604500
2006-11-12,0.0227842432
2006-11-13,0.0222562500
2006-11-14,0.0209305000
2006-11-15,0.0236329714
2006-11-16,0.0314622308
2006-11-17,0.0319290882
2006-11-18,0.0607074146
2006-11-19,0.0190559048
2006-11-20,0.0455893125
2006-11-21,0.1413404706
2006-11-22,0.0528818667
2006-11-23,0.0506840000
2006-11-24,0.0535649000
2006-11-25,0.0392106563
2006-11-26,0.0227156000
2006-11-27,0.0254029583
2006-11-28,0.1603420714
2006-11-29,0.1220778000
2006-11-30,0.3394869286
2006-12-01,0.3174076250
2006-12-02,0.1307618636
2006-12-03,0.0749380811
2006-12-04,0.0410089524
2006-12-07,0.1697958750
2006-12-08,0.1158597143
2006-12-09,0.1560016905
2006-12-10,0.1133765294
2006-12-11,0.0779926829
2006-12-12,0.0519863235
2006-12-13,0.0604967273
2006-12-14,0.0737256000
2006-12-15,0.0350496800
2006-12-16,0.1618153000
2006-12-18,0.1007178000
2006-12-19,0.1287153636
2006-12-20,0.0457963590
2006-12-23,0.0697136250
2007-01-09,0.1853150000
2007-01-10,0.0456041000
2007-01-11,0.1051285000
2007-01-12,0.0684138000
2007-01-13,0.0685755000
2007-01-14,0.0381040000
2007-01-15,0.1422397500
2007-01-16,0.0580700769
2007-01-17,0.0483813333
2007-01-18,0.0421044286
2007-03-07,0.7808080000
2007-03-08,0.6713368462
2007-03-21,0.0842176667
2007-03-27,0.0377125000
2007-03-28,0.0353918571
2007-03-29,0.1733275000
2007-04-02,0.0225125000
2007-04-04,0.0425800000
2007-04-06,0.0762093750
2007-04-07,0.0382543750
2007-04-08,0.0988661429
2007-04-09,0.0268224242
2007-04-10,0.0398129474
2007-04-11,0.0735257273
2007-04-12,0.0397613871
2007-04-13,0.0186711200
2007-04-14,0.0289180000
2007-04-15,0.0616048235
2007-04-16,0.0800092727
2007-04-17,0.0896583478
2007-04-18,0.1182003793
2007-04-19,0.1007868214
2007-04-20,0.2625168500
2007-04-21,0.1639079231
2007-04-22,0.0690037273
2007-04-23,0.1006965000
2007-04-24,0.0991711333
2007-04-25,0.0273465625
2007-04-26,0.0525800000
2007-04-27,0.0636916111
2007-04-28,0.0465776667
2007-04-29,0.0182850000
2007-04-30,0.0667235000
2007-05-01,0.1035700000
2007-05-02,0.0582700000
2007-05-03,0.0535020000
2007-05-09,0.0652775000
2007-05-10,0.0296486364
2007-05-13,0.1606275000
2007-05-14,0.3990389167
2007-05-15,0.1846507500
2007-05-16,0.2945947500
2007-05-17,0.3436437059
2007-05-19,0.2177905000
2007-05-20,0.0426060000
2007-05-21,0.0434215000
2007-05-23,0.0697108824
2007-05-24,0.1204840000
2007-05-25,0.0673593333
2007-05-26,0.0926380000
2007-05-27,0.0509163333
2007-05-28,0.1081685000
2007-05-30,0.1267810000
2007-05-31,0.1979680833
2007-06-03,0.2209765625
2007-06-04,0.1574718333
2007-06-05,0.0563211875
2007-06-06,0.1105985000
2007-06-07,0.0785716429
2007-06-08,0.0368332222
2007-06-09,0.0339610909
2007-06-10,0.1034190000
2007-06-12,0.1639061250
2007-06-13,0.2725528889
2007-06-14,0.4968725294
2007-06-20,0.5835718571
2007-06-21,0.4382727059
2007-06-22,0.5957147500
2007-06-23,0.2047452903
2007-06-24,0.2097100909
2007-06-25,0.1948417500
2007-06-26,0.5017756667
2007-06-27,0.0627480000
2007-06-28,0.0858871333
2007-06-29,0.3655130000
2007-06-30,0.4265048000
2007-07-01,0.4362064000
2007-07-02,0.3451771667
2007-07-03,0.0277166111
2007-07-04,0.1770105000
2007-07-05,0.2592568750
2007-07-06,0.2208854444
2007-07-07,0.1647117778
2007-07-08,0.2135990000
2007-07-09,0.2118843333
2007-07-10,0.1728010909
