"Date","Source","Site ID","POC","Daily Mean PM2.5 Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"01/01/2012","AQS","720010002","1","7.1","ug/m3 LC","30","Adjuntas","1","100.0000","88101","PM2.5 - Local Conditions","10260","Adjuntas, PR","72","Puerto Rico","001","Adjuntas","18.1753775873795","-66.7259880318065"
"01/04/2012","AQS","720010002","1","4.5","ug/m3 LC","19","Adjuntas","1","100.0000","88101","PM2.5 - Local Conditions","10260","Adjuntas, PR","72","Puerto Rico","001","Adjuntas","18.1753775873795","-66.7259880318065"
"01/07/2012","AQS","720010002","1","3.4","ug/m3 LC","14","Adjuntas","1","100.0000","88101","PM2.5 - Local Conditions","10260","Adjuntas, PR","72","Puerto Rico","001","Adjuntas","18.1753775873795","-66.7259880318065"
"01/10/2012","AQS","720010002","1","2.8","ug/m3 LC","12","Adjuntas","1","100.0000","88101","PM2.5 - Local Conditions","10260","Adjuntas, PR","72","Puerto Rico","001","Adjuntas","18.1753775873795","-66.7259880318065"
"01/13/2012","AQS","720010002","1","3.9","ug/m3 LC","16","Adjuntas","1","100.0000","88101","PM2.5 - Local Conditions","10260","Adjuntas, PR","72","Puerto Rico","001","Adjuntas","18.1753775873795","-66.7259880318065"
"01/16/2012","AQS","720010002","1","2.6","ug/m3 LC","11","Adjuntas","1","100.0000","88101","PM2.5 - Local Conditions","10260","Adjuntas, PR","72","Puerto Rico","001","Adjuntas","18.1753775873795","-66.7259880318065"
"01/25/2012","AQS","720010002","1","2.8","ug/m3 LC","12","Adjuntas","1","100.0000","88101","PM2.5 - Local Conditions","10260","Adjuntas, PR","72","Puerto Rico","001","Adjuntas","18.1753775873795","-66.7259880318065"
"01/28/2012","AQS","720010002","1","3.2","ug/m3 LC","13","Adjuntas","1","100.0000","88101","PM2.5 - Local Conditions","10260","Adjuntas, PR","72","Puerto Rico","001","Adjuntas","18.1753775873795","-66.7259880318065"
"01/31/2012","AQS","720010002","1","3.8","ug/m3 LC","16","Adjuntas","1","100.0000","88101","PM2.5 - Local Conditions","10260","Adjuntas, PR","72","Puerto Rico","001","Adjuntas","18.1753775873795","-66.7259880318065"
"02/03/2012","AQS","720010002","1","2.6","ug/m3 LC","11","Adjuntas","1","100.0000","88101","PM2.5 - Local Conditions","10260","Adjuntas, PR","72","Puerto Rico","001","Adjuntas","18.1753775873795","-66.7259880318065"
"02/06/2012","AQS","720010002","1","3.2","ug/m3 LC","13","Adjuntas","1","100.0000","88101","PM2.5 - Local Conditions","10260","Adjuntas, PR","72","Puerto Rico","001","Adjuntas","18.1753775873795","-66.7259880318065"
"02/09/2012","AQS","720010002","1","3.7","ug/m3 LC","15","Adjuntas","1","100.0000","88101","PM2.5 - Local Conditions","10260","Adjuntas, PR","72","Puerto Rico","001","Adjuntas","18.1753775873795","-66.7259880318065"
"02/12/2012","AQS","720010002","1","7","ug/m3 LC","29","Adjuntas","1","100.0000","88101","PM2.5 - Local Conditions","10260","Adjuntas, PR","72","Puerto Rico","001","Adjuntas","18.1753775873795","-66.7259880318065"
"02/15/2012","AQS","720010002","1","2.5","ug/m3 LC","10","Adjuntas","1","100.0000","88101","PM2.5 - Local Conditions","10260","Adjuntas, PR","72","Puerto Rico","001","Adjuntas","18.1753775873795","-66.7259880318065"
"02/24/2012","AQS","720010002","1","4.3","ug/m3 LC","18","Adjuntas","1","100.0000","88101","PM2.5 - Local Conditions","10260","Adjuntas, PR","72","Puerto Rico","001","Adjuntas","18.1753775873795","-66.7259880318065"
"02/27/2012","AQS","720010002","1","3.2","ug/m3 LC","13","Adjuntas","1","100.0000","88101","PM2.5 - Local Conditions","10260","Adjuntas, PR","72","Puerto Rico","001","Adjuntas","18.1753775873795","-66.7259880318065"
