nbdates	date	aot_440_daily	pm	angstrom440_870	angstrom440_675
29	2008-05-24	0.0901867586	1.970000	0.3647941379	0.4493805517
40	2008-05-25	0.0946645250	3.780000	0.4206511250	0.5064564250
25	2008-05-26	0.1807803600	13.290000	0.2992810400	0.3657735600
25	2008-05-27	0.1497068000	7.390000	0.2965728400	0.3621712400
13	2008-05-29	0.1833143077	2.670000	0.3109919231	0.3564505385
30	2008-05-30	0.1385228333	0.290000	0.4712429333	0.5615613667
27	2008-05-31	0.1246006296	1.310000	0.2752786296	0.3261150000
22	2008-06-01	0.1459875909	2.920000	0.2170466818	0.2761639545
17	2008-06-06	0.1091836471	5.310000	0.2777407647	0.3481312353
19	2008-06-08	0.3517184211	52.940000	0.1849525789	0.1969638947
31	2008-06-09	0.3361627097	33.550000	0.1359264516	0.1425048065
14	2008-06-10	0.3786142143	25.210000	0.1232159286	0.1371137143
35	2008-07-04	0.1529330857	6.550000	0.3733609714	0.4154687143
29	2008-07-05	0.1316435517	23.300000	0.2375695862	0.2555417931
35	2008-07-07	0.1035110000	4.070000	0.2211684000	0.2778272571
53	2008-07-08	0.1458047736	17.540000	0.2284592642	0.2535076415
37	2008-07-09	0.1197546486	20.000000	0.3030962973	0.3685425946
17	2008-07-15	0.1876562353	14.900000	0.2952044706	0.3383871176
24	2008-07-20	0.4784958333	24.650000	0.1823047083	0.1695689583
40	2008-07-22	0.1626963000	8.360000	0.4205483750	0.4615547500
33	2008-07-23	0.1123846970	6.920000	0.3897001818	0.4611780000
15	2008-07-24	0.0655047333	6.620000	0.3734348000	0.4658162667
36	2008-07-25	0.2071594167	27.370000	0.1663904444	0.1923751667
12	2008-07-26	0.2932664167	28.960000	0.1318607500	0.1500537500
37	2008-07-27	0.1457001351	11.360000	0.1825578919	0.2113455676
13	2008-08-06	0.8732368462	18.920000	0.1261003846	0.1132378462
18	2008-08-07	0.1991052222	6.760000	0.2512335556	0.3001113333
19	2008-08-11	0.1588330000	2.890000	0.3651150000	0.4170503684
24	2008-08-12	0.2786354167	41.350000	0.2421719167	0.2661158750
21	2008-08-13	0.1822900000	26.390000	0.4181689524	0.4850076667
36	2008-08-14	0.1109024444	37.140000	0.5099119444	0.5957159444
34	2008-08-15	0.2910729706	36.810000	0.1857080294	0.2023494706
16	2008-08-17	0.1587075625	6.830000	0.4603578125	0.5141703125
40	2008-08-18	0.1713247750	9.620000	0.5085757500	0.5411721000
19	2008-08-26	0.1852430000	2.040000	0.6349153684	0.6730655789
42	2008-08-30	0.1994293095	50.910000	0.2003135476	0.2213398810
32	2008-08-31	0.2039706250	43.050000	0.1621097500	0.1756642813
39	2008-09-04	0.0573866923	8.680000	0.4696356667	0.4938797179
18	2008-09-08	0.0985114444	5.520000	0.8167220556	0.8661533333
30	2008-09-09	0.0789597000	2.400000	0.6854916000	0.7325769000
23	2008-09-10	0.0394890870	2.510000	0.6778061739	0.7617707826
25	2008-09-11	0.0635297200	7.010000	0.7130552400	0.8053033200
13	2008-09-12	0.1841945385	7.520000	0.3765065385	0.4277822308
13	2008-09-13	0.1324133846	16.250000	0.5366276923	0.5926133077
38	2008-09-14	0.1609620789	17.080000	0.6403309474	0.6868957895
23	2008-09-15	0.0916275652	2.500000	0.3823094348	0.4477639130
17	2008-09-16	0.1027630000	54.110000	0.4468641765	0.5126132941
15	2008-09-17	0.0976081333	8.570000	0.4389166000	0.4686699333
23	2008-09-21	0.2703162609	5.470000	1.1121674348	1.0990860435
32	2008-09-22	0.0337014063	1.780000	0.7702749375	0.8488954375
14	2008-09-23	0.0640692143	4.390000	0.2436922857	0.3289757143
25	2008-09-27	0.0979726400	3.670000	0.1904648000	0.2635091200
21	2008-10-01	0.0849145238	3.330000	0.6573409524	0.7159494762
16	2008-10-02	0.0520038750	3.440000	0.5900601875	0.6995693750
27	2008-10-05	0.0355438519	8.930000	0.3890235556	0.4464507037
13	2008-10-25	0.0328636923	0.890000	0.5619839231	0.7054537692
38	2008-10-27	0.0299240000	1.760000	0.7600470263	0.9214917368
18	2008-10-28	0.0347846667	2.110000	0.4465256111	0.5990761111
13	2008-10-30	0.0905522308	1.570000	0.0535481538	0.0986200769
23	2008-10-31	0.0634940000	0.800000	0.1672143913	0.2369284783
24	2008-11-01	0.0786121667	0.700000	0.1280653750	0.1984364167
36	2008-11-02	0.0663589722	1.730000	0.1748118611	0.2535744722
38	2008-11-03	0.0312275263	1.830000	0.4063968947	0.5060188421
22	2008-11-04	0.0475224545	0.050000	0.4266729091	0.5517400455
14	2008-11-05	0.0451635000	1.330000	0.2065668571	0.3139209286
31	2008-11-06	0.0417685484	0.940000	0.4610049677	0.5779750645
23	2008-11-07	0.0419848261	0.260000	0.3511061739	0.4576531304
17	2008-11-08	0.0355573529	0.480000	0.4054338824	0.5503292941
15	2008-11-09	0.0560533333	0.280000	0.8162359333	0.9433755333
25	2008-11-10	0.0366718000	0.010000	0.5658861600	0.6891132400
16	2008-11-12	0.0743338750	4.510000	0.7000949375	0.8135017500
26	2008-11-22	0.0375617692	0.660000	0.4682360769	0.5637784231
15	2008-11-23	0.0500848667	1.180000	0.5273976000	0.6687948000
14	2008-11-24	0.0500257857	0.160000	0.3907545000	0.4724032857
12	2008-11-25	0.0542395000	0.210000	0.4790316667	0.6114345833
29	2008-11-26	0.0970667241	1.270000	0.2077970345	0.2846170690
26	2008-11-27	0.0632855000	0.900000	0.4489309615	0.5163581538
39	2008-12-02	0.0644868205	1.370000	0.2738496667	0.3113473846
37	2008-12-03	0.0516147297	0.470000	0.3222672162	0.3534500000
28	2008-12-04	0.0409218214	0.300000	0.5214171429	0.5607773214
13	2008-12-07	0.0488955385	0.110000	0.6379207692	0.7083208462
40	2008-12-08	0.0318441000	1.490000	0.7864535250	0.8765815000
49	2008-12-09	0.0305160204	0.010000	0.6781555306	0.7497042653
26	2008-12-10	0.0641720000	0.160000	0.2984191154	0.3696510385
22	2008-12-11	0.0799481364	0.620000	0.1625459545	0.2117079545
18	2008-12-12	0.0869043889	1.800000	0.1193600000	0.1410222222
19	2008-12-13	0.0585525789	0.610000	0.2327013158	0.2765168421
26	2008-12-16	0.0519972308	2.130000	0.4095257308	0.4739564231
25	2008-12-21	0.0609121200	4.110000	0.3077110000	0.3718894800
30	2008-12-30	0.0554238333	0.450000	0.3154237000	0.3859774333
12	2009-01-08	0.0821437500	4.290000	0.1250419167	0.1646196667
20	2009-01-11	0.0687812000	0.630000	0.0876529000	0.1219815500
16	2009-02-07	0.0595745625	0.320000	0.1780169375	0.2164910000
13	2009-02-08	0.1038467692	0.810000	0.0930480000	0.1458882308
18	2009-02-14	0.0804135556	0.550000	0.1351051111	0.1667636667
25	2009-02-17	0.2690482800	9.010000	0.4034881200	0.4357215600
15	2009-02-18	0.1060974667	7.440000	0.3839508667	0.4385452667
15	2009-02-26	0.0814038667	0.300000	0.2239972667	0.2715138667
24	2009-02-28	0.0709135833	0.230000	0.2685184167	0.3247080417
16	2009-03-04	0.0861910625	1.460000	0.1199221250	0.1897652500
19	2009-03-07	0.0538001579	0.740000	0.4471705263	0.5536648421
28	2009-03-08	0.0748102500	0.820000	0.2513647857	0.3024239286
12	2009-03-09	0.1324646667	1.190000	0.3308998333	0.4059855833
31	2009-03-12	0.0750157419	2.080000	0.6752566452	0.8025446452
28	2009-03-15	0.0683808571	0.520000	0.2193217500	0.2776552143
21	2009-03-16	0.0553853333	0.260000	0.2880801905	0.3626480476
23	2009-03-21	0.0763441739	0.580000	0.3217188696	0.4167333478
18	2009-03-22	0.0711008889	0.600000	0.3454472222	0.4562682778
21	2009-03-30	0.0781223333	0.490000	0.3160285714	0.3865061429
14	2009-04-01	0.1130125000	0.440000	0.1770450714	0.2259048571
23	2009-04-02	0.0672299130	0.440000	0.3510946957	0.4083740870
19	2009-04-03	0.0673573684	0.390000	0.3127064211	0.3788154737
55	2009-04-04	0.0420504545	1.010000	0.7268537455	0.8022900000
41	2009-04-05	0.0657422439	0.540000	0.8462509024	0.9148140732
14	2009-04-09	0.0872571429	0.540000	0.2622748571	0.3643470714
20	2009-04-11	0.0929509500	0.300000	0.1976152500	0.2649659000
31	2009-04-13	0.0739473871	1.060000	0.3472380645	0.4476038065
14	2009-04-14	0.0919727857	1.160000	0.3083957143	0.3970695714
16	2009-04-15	0.0806910625	0.730000	0.2694908125	0.3437349375
23	2009-04-16	0.0882793478	0.560000	0.1912001739	0.2530146957
20	2009-04-17	0.0789430000	0.620000	0.2170590500	0.2974048000
19	2009-04-23	0.0936572105	0.550000	0.1901591579	0.2568429474
19	2009-04-24	0.0804383684	0.270000	0.2507443158	0.3246625263
14	2009-04-26	0.0740087143	0.530000	0.3256987857	0.3908625000
15	2009-04-28	0.0936520000	0.660000	0.2229683333	0.2964357333
12	2009-05-03	0.1977277500	28.860000	0.1140309167	0.1594270000
21	2009-05-11	0.1943031429	29.630000	0.2521882381	0.2770516190
20	2009-05-12	0.2153406000	31.390000	0.1679446000	0.1798194000
41	2009-05-13	0.1317410976	17.590000	0.1470756341	0.1722537073
13	2009-05-25	0.1659073077	17.980000	0.2442205385	0.3021880769
12	2009-05-26	0.4094193333	35.140000	0.0990564167	0.0987783333
25	2009-05-27	0.4454002800	28.640000	0.1037826000	0.0970692400
25	2009-05-28	0.2996066800	25.740000	0.1793503600	0.1723705200
19	2009-05-29	0.2420865789	11.180000	0.1634494737	0.1687911053
25	2009-06-04	0.1583339600	11.750000	0.2261840000	0.2625038800
14	2009-06-05	0.0891881429	4.380000	0.2342137857	0.2784277143
13	2009-06-06	0.2030234615	8.040000	0.1703393846	0.2175859231
19	2009-06-09	0.2710621053	12.340000	0.1998038947	0.2034862632
47	2009-06-10	0.1757797447	2.620000	0.1966710426	0.1947629787
27	2009-06-11	0.1032657037	2.840000	0.1884548148	0.2278927037
14	2009-06-14	0.1597305000	20.180000	0.2197650000	0.2648970714
25	2009-06-17	0.0826480400	0.660000	0.2078732800	0.2844797200
35	2009-06-28	0.3324356286	69.760000	0.1322986000	0.1072650571
31	2009-06-29	0.1969846452	11.370000	0.1728351290	0.1851677742
17	2009-06-30	0.1587327059	30.730000	0.1371100588	0.1702263529
26	2009-07-06	0.4342565769	42.310000	0.0878175000	0.0736472308
26	2009-07-08	0.2609485000	34.030000	0.1719110769	0.1798892308
26	2009-07-12	0.2393528462	15.420000	0.1658324231	0.1730598077
27	2009-07-13	0.2014058519	20.680000	0.1177001852	0.1220532222
13	2009-07-14	0.3571160000	18.110000	0.1243125385	0.1133829231
18	2009-07-24	0.2873289444	7.440000	0.1484373333	0.1293094444
19	2009-07-25	0.0656073684	1.600000	0.3153655789	0.3527474211
19	2009-08-01	0.2627311579	16.450000	0.1590455789	0.1552003158
26	2009-08-02	0.1287690385	17.000000	0.2918352308	0.3119643077
20	2009-08-03	0.1603839000	26.200000	0.1836090000	0.2125001500
19	2009-08-04	0.2814585789	47.240000	0.1982713684	0.2133732105
16	2009-08-11	0.1222615625	5.180000	0.4422950625	0.4798665000
18	2009-08-13	0.0725157222	2.570000	0.6293348889	0.6892222778
20	2009-08-14	0.0766816500	5.430000	0.2580716000	0.3378304000
13	2009-08-15	-3.7368176923	12.960000	-3.7251314615	-3.7159990769
43	2009-08-16	-9.2930012093	14.310000	-9.2852600465	-9.2816936512
16	2009-08-17	-9.9999990000	10.440000	-9.9999990000	-9.9999990000
23	2009-08-19	-0.5906159565	25.710000	-0.8261509130	-0.8085258261
14	2009-08-20	-3.4697348571	1.440000	-3.4864002857	-3.4556976429
18	2009-08-25	-7.7186940556	12.890000	-7.6933595000	-7.6986403333
29	2009-08-26	0.3809368966	45.090000	0.1399754483	0.1318609655
33	2009-08-27	0.2899822424	19.520000	0.1835936364	0.1840539394
43	2009-08-28	0.1938093488	23.230000	0.1970272093	0.2137621395
23	2009-08-29	0.1343469565	11.280000	0.3545687391	0.4082897391
17	2009-08-30	0.1669672353	26.910000	0.3948557647	0.4517095294
12	2009-08-31	0.2510828333	10.340000	0.1700525833	0.2090386667
36	2009-09-06	0.2796053333	13.590000	0.1988121944	0.2067502778
32	2009-09-07	0.0445674688	1.010000	0.5976342500	0.7284913750
13	2009-09-08	0.1601915385	11.420000	0.7393693077	0.7905730000
23	2009-09-09	0.1928502174	13.080000	1.0165741739	1.0309126087
19	2009-09-10	0.1285625789	19.110000	0.3437056842	0.3943397895
16	2009-09-11	0.1757136875	46.730000	0.2498030625	0.2817066250
13	2009-09-12	0.1149392308	15.860000	0.3439959231	0.3954331538
31	2009-09-17	0.0593614516	6.590000	0.5927658710	0.6752630645
40	2009-09-18	0.0382534500	0.880000	0.9821846250	1.0934291000
26	2009-09-19	0.0521307308	1.470000	0.8188077692	0.9417630769
37	2009-09-21	0.1165490270	13.860000	0.8111741081	0.8401079459
41	2009-09-22	0.0864960488	2.160000	0.9524906098	0.9824925366
48	2009-09-23	0.0472992292	2.640000	0.6294852917	0.7067996250
30	2009-09-24	0.0404380000	0.430000	1.1051494333	1.1472766667
12	2009-09-29	0.1436939167	9.930000	0.2075072500	0.2201019167
25	2009-09-30	0.0428833600	4.010000	0.4950413600	0.5676554400
30	2009-10-01	0.0709741333	16.260000	0.3715411000	0.4032864333
34	2009-10-02	0.0591223529	3.790000	0.6707096765	0.7313026176
51	2009-10-03	0.0790448627	9.450000	1.1144092353	1.1482868235
27	2009-10-04	0.0727527407	13.610000	0.8449342593	0.8992318889
18	2009-10-06	0.1038674444	10.120000	0.1799176667	0.2042270556
20	2009-10-07	0.1325479000	5.490000	0.4684150500	0.5465513500
17	2009-10-08	0.1503388824	14.650000	0.3936490588	0.4418162941
25	2009-10-10	0.2874573200	37.810000	0.1649358800	0.1562525200
27	2009-10-11	0.1628278889	33.860000	0.2666625556	0.2658121852
31	2009-10-12	0.1849397419	46.150000	0.2954856452	0.2797663548
30	2009-10-13	0.1479162000	35.260000	0.3181629667	0.2946693333
20	2009-10-15	0.1376686000	4.290000	0.1332307500	0.3333827500
17	2009-10-17	0.2040764118	36.680000	0.1109687059	0.2374301765
27	2009-10-18	0.1538614815	14.470000	0.1457944815	0.2908129259
36	2009-10-19	0.0616366667	0.430000	0.3940398333	0.7915337500
21	2009-10-20	0.0554089048	0.120000	0.3820320476	0.9262697143
38	2009-10-21	0.0660529211	2.850000	0.5135453947	0.9565329737
47	2009-10-22	0.0769075957	13.510000	0.3030856809	0.5757003617
39	2009-10-23	0.0842761795	3.050000	0.1225103846	0.3520187692
25	2009-10-24	0.0797201200	2.850000	0.2252327200	0.5218222400
21	2009-10-25	0.0968447143	2.000000	0.2560950000	0.5331162857
14	2009-10-26	0.0876073571	0.370000	0.1796815000	0.4115768571
24	2009-10-27	0.0671171667	4.290000	0.2271074583	0.5532619167
20	2009-10-30	0.1193909000	6.890000	0.3034437500	0.5323223000
48	2009-11-06	0.0599005208	1.210000	0.4139041042	0.8123476667
50	2009-11-07	0.0516208000	0.530000	0.4360551600	0.9042363800
45	2009-11-08	0.0599955556	0.530000	0.5050451556	0.9810986000
35	2009-11-09	0.0447586000	1.880000	0.5818716000	1.0987001429
17	2009-11-10	0.0677172941	0.610000	0.2564044706	0.5904738235
36	2009-11-12	0.1065471111	2.880000	0.1604751944	0.3486446111
32	2009-11-13	0.0965917813	2.230000	0.1800447813	0.4078364063
21	2009-11-15	0.1248162381	4.350000	0.2338005714	0.4052461429
22	2009-11-16	0.1090015455	3.810000	0.2523776364	0.4796735909
13	2009-11-18	0.1404362308	1.030000	0.1129867692	0.3228476154
18	2009-11-22	0.1052038889	0.630000	0.0838797778	0.2771001111
13	2009-11-23	0.0829279231	7.860000	0.1624506923	0.3507528462
22	2009-11-24	0.2043807273	25.260000	0.1916639545	0.2916578636
25	2009-11-25	0.2054499200	35.650000	0.1545951200	0.2467816000
28	2009-11-26	0.1711313571	32.210000	0.1011588929	0.2031802857
30	2009-11-27	0.1392035667	16.660000	0.1085584333	0.2300736333
31	2009-11-28	0.0573536129	0.860000	0.1825600323	0.5139688065
15	2009-11-29	0.1017704000	3.550000	0.1020614000	0.3124138667
21	2009-11-30	0.1159048095	14.980000	0.2009925714	0.3670406190
32	2009-12-01	0.1210472813	3.960000	0.2034602500	0.3722597188
26	2009-12-02	0.0976101154	4.620000	0.2029821538	0.4115542308
22	2009-12-03	0.1327163636	6.110000	0.1433383182	0.3003646818
26	2009-12-04	0.1157144231	4.370000	0.1483458846	0.3136713077
12	2009-12-05	0.1081120000	2.900000	0.1663692500	0.3164170833
16	2009-12-06	0.1157313125	2.590000	0.1559331875	0.3355360625
39	2009-12-09	0.0781542564	1.500000	0.1439711282	0.3729452821
16	2009-12-14	0.0470922500	0.690000	0.1621171875	0.5628855000
54	2009-12-16	0.0423769444	0.310000	0.3587615370	0.7995055370
31	2009-12-17	0.0421710323	0.120000	0.4463660000	0.9455092581
27	2009-12-18	0.0612040741	0.360000	0.3539103704	0.6963533704
43	2009-12-19	0.0489962791	0.380000	0.3182893256	0.7278466512
23	2009-12-20	0.0652271304	0.360000	0.1764468261	0.4451955652
28	2009-12-21	0.0797890357	0.410000	0.1352484286	0.3922475357
12	2009-12-22	0.1021502500	2.230000	0.4297826667	0.6295900000
26	2009-12-26	0.1535459615	3.240000	0.6757194231	0.8443606538
33	2009-12-27	0.1568223030	4.060000	0.6461050303	0.7990155152
18	2010-01-02	0.0631602778	1.700000	0.2200725000	0.4973931667
38	2010-01-03	0.0652136842	3.000000	0.3054776316	0.5871855000
28	2010-01-04	0.1651014286	3.300000	0.4891305357	0.6419643571
23	2010-01-07	0.1054146957	0.700000	0.1569363913	0.3469210000
33	2010-01-09	0.0481161212	0.300000	0.2182996667	0.5147141212
22	2010-01-10	0.0738101364	0.400000	0.1636655909	0.4008115455
18	2010-01-11	0.0444795556	2.000000	0.2649049444	0.6177450000
23	2010-01-12	0.1244003913	0.200000	0.0603745652	0.2125661304
13	2010-01-13	0.1105069231	0.300000	0.1811980769	0.3700571538
43	2010-01-15	0.1140777907	0.500000	0.4628779302	0.6524346512
25	2010-01-16	0.1708234800	0.300000	0.5713966800	0.6961454000
14	2010-01-17	0.1275642857	0.700000	0.4278946429	0.6164514286
17	2010-01-19	0.1200299412	1.600000	0.3789915294	0.5822828235
25	2010-01-20	0.2380869200	3.200000	0.6598646800	0.7766559600
17	2010-01-21	0.1786589412	1.400000	0.6973713529	0.8239625294
44	2010-01-22	0.1281009545	2.300000	0.3893194091	0.5517845682
27	2010-01-23	0.1425052963	8.300000	0.2750785185	0.4340095185
43	2010-01-24	0.1154542558	12.800000	0.2328210465	0.3746770233
37	2010-01-25	0.0845006486	6.400000	0.2841570811	0.4823950811
12	2010-01-26	0.0878346667	2.600000	0.2910767500	0.5270282500
18	2010-01-30	0.0618017222	0.300000	0.2637904444	0.5770691111
21	2010-01-31	0.0949193333	0.800000	0.1839441905	0.4097613810
15	2010-02-01	0.0934950667	0.400000	0.1856162667	0.4050042667
16	2010-02-02	0.1582598125	0.600000	0.1038663750	0.2224375000
28	2010-02-03	0.1054397857	0.500000	0.1241403214	0.2676171786
23	2010-02-04	0.1355880870	0.700000	0.2419719565	0.4007995652
16	2010-02-05	0.1166978750	0.300000	0.1970779375	0.3823698750
22	2010-02-06	0.1129765000	0.500000	0.0436001364	0.2192621818
29	2010-02-07	0.0982117931	1.300000	0.4967691379	0.7147901379
18	2010-02-09	0.2775924444	16.000000	0.5025798333	0.5954465000
20	2010-02-10	0.2376645500	14.600000	0.5141268000	0.6355298500
34	2010-02-11	0.1844988235	19.100000	0.6494166471	0.7866685000
54	2010-02-12	0.1286276111	6.800000	0.5946425741	0.7576821852
12	2010-02-13	0.1160321667	6.300000	0.5616254167	0.7053471667
13	2010-02-15	0.1058006923	1.700000	0.4721784615	0.7289612308
12	2010-02-16	0.1033525000	0.800000	0.3880832500	0.6276207500
40	2010-02-17	0.0935790750	0.400000	0.3672712250	0.6128791750
15	2010-02-18	0.1176335333	0.700000	0.3619496000	0.5807842667
22	2010-02-19	0.1176336364	0.300000	0.6196765000	0.9033886818
24	2010-02-20	0.0977070000	1.000000	0.2470861667	0.4835578333
53	2010-02-21	0.0851369623	2.900000	0.3487625283	0.6150512642
13	2010-02-22	0.0955227692	0.700000	0.4818228462	0.7388565385
37	2010-02-25	0.1781374595	17.700000	0.5499646486	0.7143754865
22	2010-02-26	0.2233239091	18.700000	0.6660810455	0.8465022727
27	2010-03-01	0.2530802963	31.900000	0.4282472963	0.5068475926
17	2010-03-02	0.2687447647	28.900000	0.3418358235	0.4363452941
34	2010-03-03	0.2171725588	29.300000	0.2586544118	0.3588894118
20	2010-03-04	0.1569697500	22.000000	0.2433167500	0.3910447500
17	2010-03-08	0.1093584118	23.200000	0.2124457059	0.3897978824
23	2010-03-10	0.3177353478	33.400000	0.1449742174	0.1969337826
41	2010-03-11	0.2174937317	32.300000	0.2107502683	0.2916913902
29	2010-03-12	0.2332574483	12.600000	0.3904318276	0.4961225862
30	2010-03-13	0.1343703333	6.300000	0.5597740333	0.7607658667
38	2010-03-14	0.1586290526	43.300000	0.2623623421	0.3945466579
26	2010-03-16	0.1959003077	67.800000	0.1411068846	0.2353092692
21	2010-03-17	0.3490082857	54.600000	0.1580878095	0.2072903333
20	2010-03-18	0.2270695000	44.200000	0.1866321500	0.2569875500
32	2010-03-19	0.1592370625	21.100000	0.1815425625	0.3049216250
25	2010-03-20	0.1349697200	5.400000	0.1457316400	0.2798658400
42	2010-03-21	0.1380700952	10.200000	0.1816509286	0.3202536667
